index,X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
10,-13541568.9741081,4391685.99875527,12,38593901,SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,93901,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,269,MONTEREY,06053,USA,36.659030456,-121.645983804,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.svmh.com,NOT AVAILABLE,NOT AVAILABLE,6,GOVERNMENT - DISTRICT/AUTHORITY,-999,269,NOT AVAILABLE,N
11,-13117208.8406015,3999664.77221041,14,15992866,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,393 S. TUSTIN STREET,ORANGE,CA,92866,NOT AVAILABLE,NOT AVAILABLE,CHILDREN,OPEN,27,ORANGE,06059,USA,33.7827271730001,-117.833891865,622110,"CHILDREN'S HOSPITALS, GENERAL",http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.healthbridgeorange.com,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,27,NOT AVAILABLE,N
12,-13116893.1124768,3994942.37138537,15,16192680,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,14851 YORBA STREET,TUSTIN,CA,92780,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,48,ORANGE,06059,USA,33.7474607400001,-117.831055631,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,https://encompasshealth.com/locations/tustinrehab,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,48,NOT AVAILABLE,N
13,-13123894.3471337,4020009.8116978,16,23792621,KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,BREA,CA,92821,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,86,ORANGE,06059,USA,33.934495886,-117.893948792,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.kindredhospitalbrea.com/,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,86,NOT AVAILABLE,N
14,-13135171.8098231,3997094.33672588,17,24392683,KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,WESTMINSTER,CA,92683,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,109,ORANGE,06059,USA,33.7635332090001,-117.995255963,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.khwestminster.com/,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,109,NOT AVAILABLE,N
15,-13285784.6947331,4344859.28735413,18,22093277,KAWEAH DELTA MENTAL HEALTH HOSPITAL,1100 SO. AKERS STREET,VISALIA,CA,93277,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,63,TULARE,06107,USA,36.320843946,-119.348234528,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.kaweahdelta.org,NOT AVAILABLE,NOT AVAILABLE,6,GOVERNMENT - DISTRICT/AUTHORITY,-999,63,NOT AVAILABLE,N
16,-9128761.23135061,3612671.46222367,19,1931537,CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,FOLKSTON,GA,31537,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,CLOSED,-999,CHARLTON,13049,USA,30.845275348,-82.005057392,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://167.193.144.247/,2012/11/24 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.southcoast.org/charlton/,14,NOT AVAILABLE,13,GOVERNMENT - DISTRICT/AUTHORITY,-999,-999,NOT AVAILABLE,Y
17,-10218519.652927,3504437.7018964,20,5870563,DAUTERIVE HOSPITAL,600 N LEWIS AVE.,NEW IBERIA,LA,70563,NOT AVAILABLE,(337) 365-7311,GENERAL ACUTE CARE,OPEN,103,IBERIA,22045,USA,30.006906977,-91.794523853,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2020/08/15 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.dauterivehospital.com,NOT AVAILABLE,NOT AVAILABLE,22,PROPRIETARY,-999,103,NOT AVAILABLE,Y
18,-10624209.6726144,3674846.93270728,21,13177954,CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,CROCKETT,TX,75835,NOT AVAILABLE,(936) 546-3891,GENERAL ACUTE CARE,OPEN,25,HOUSTON,48225,USA,31.32360364,-95.4388993059999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://hhs.texas.gov/doing-business-hhs/provider-portals/health-care-facilities-regulation,2020/09/02 00:00:00+00,IMAGERY/OTHER,2020/05/08 00:00:00+00,http://crockettmedicalcenter.com/,NOT AVAILABLE,EAST TEXAS MEDICAL CENTER - CROCKETT,48,NON-PROFIT,-999,25,NOT AVAILABLE,Y
19,-10290388.7696406,3675338.9148119,22,4671360,CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK AVE,PINEVILLE,LA,71360,NOT AVAILABLE,(318) 484-6200,PSYCHIATRIC,OPEN,128,RAPIDES,22079,USA,31.3273789420001,-92.4401351129999,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2020/08/15 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.dhh.la.gov/omh/inpatient-serv/clsh.htm,NOT AVAILABLE,NOT AVAILABLE,22,GOVERNMENT - STATE,-999,128,NOT AVAILABLE,N
20,-10314490.9497802,3871965.03675287,23,15671222,REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,BERNICE,LA,71222,NOT AVAILABLE,(318) 285-9066,GENERAL ACUTE CARE,OPEN,11,UNION,22111,USA,32.8239916700001,-92.656648681,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2020/08/15 00:00:00+00,IMAGERY/OTHER,2013/10/08 00:00:00+00,http://reevesmemorial.com/,NOT AVAILABLE,NOT AVAILABLE,22,GOVERNMENT - DISTRICT/AUTHORITY,-999,11,NOT AVAILABLE,Y
21,-10286547.2158331,3865626.25221822,24,16971241,SERENITY SPRINGS SPECIALTY HOSPITAL,309 N MAIN ST,FARMERVILLE,LA,71241,NOT AVAILABLE,(318) 202-3860,PSYCHIATRIC,OPEN,18,UNION,22111,USA,32.776127934,-92.4056258479999,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2020/08/15 00:00:00+00,IMAGERY/OTHER,2017/12/15 00:00:00+00,http://www.serenityhospital.com,NOT AVAILABLE,NOT AVAILABLE,22,PROPRIETARY,-999,18,NOT AVAILABLE,N
22,-10177503.2217793,3705844.84923447,25,15371373,RIVERBRIDGE SPECIALTY HOSPITAL,209 FRONT ST.,VIDALIA,LA,71373,NOT AVAILABLE,(800) 269-8034,LONG TERM CARE,OPEN,40,CONCORDIA,22029,USA,31.5611748630001,-91.4260669829999,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2020/08/15 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://www.promise-misslou.com,NOT AVAILABLE,NOT AVAILABLE,22,PROPRIETARY,-999,40,NOT AVAILABLE,N
23,-10251907.0791794,3773465.65104702,26,5371418,CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,COLUMBIA,LA,71418,NOT AVAILABLE,(318) 649-6106,GENERAL ACUTE CARE,OPEN,40,CALDWELL,22021,USA,32.0773298010001,-92.094448206,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2020/08/15 00:00:00+00,IMAGERY/OTHER,2014/02/11 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,22,GOVERNMENT - DISTRICT/AUTHORITY,-999,40,NOT AVAILABLE,Y
24,-9252761.67893198,4066899.3388107,27,22830662,BROWN MEMORIAL CONVALESCENT CENTER,545 COOK STREET,ROYSTON,GA,30662,NOT AVAILABLE,(706) 245-1900,LONG TERM CARE,CLOSED,144,FRANKLIN,13119,USA,34.2832503650001,-83.118972365,622310,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://167.193.144.247/,2012/11/24 00:00:00+00,IMAGERY/OTHER,2014/02/10 00:00:00+00,http://tycobbhealthcare.com/programsservices/longtermcare/brownmemorialconvalescentcenter.aspx,NOT AVAILABLE,NOT AVAILABLE,13,PROPRIETARY,-999,144,NOT AVAILABLE,N
25,-13157227.9820271,4002928.63072295,28,70990806,COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,90806,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,121,LOS ANGELES,06037,USA,33.8070928700001,-118.193389929,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2015/01/13 00:00:00+00,http://www.collegemedicalcenter.com,NOT AVAILABLE,PACIFIC HOSPITAL OF LONG BEACH,6,PROPRIETARY,-999,121,NOT AVAILABLE,N
26,-13599307.1338799,4538033.47522032,29,71794577,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,94577,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,216,ALAMEDA,06001,USA,37.706406198,-122.164654518,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2015/01/14 00:00:00+00,http://www.kaiserpermanente.org,NOT AVAILABLE,NOT AVAILABLE,6,NOT AVAILABLE,-999,216,NOT AVAILABLE,N
27,-13153763.4007659,4013321.40350274,30,72590723,KINDRED HOSPITAL PARAMOUNT,16453 SOUTH COLORADO AVENUE,PARAMOUNT,CA,90723,NOT AVAILABLE,NOT AVAILABLE,LONG TERM CARE,OPEN,177,LOS ANGELES,06037,USA,33.8846318610001,-118.162267066,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2015/01/14 00:00:00+00,http://www.promiseeastla.com/,NOT AVAILABLE,NOT AVAILABLE,6,PROPRIETARY,-999,177,NOT AVAILABLE,N
28,-13143268.4892725,4019142.48353113,31,73790650,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,11401 BLOOMFIELD AVENUE,NORWALK,CA,90650,NOT AVAILABLE,(562) 863-7011,PSYCHIATRIC,OPEN,1265,LOS ANGELES,06037,USA,33.928031349,-118.067989672,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,2020/08/01 00:00:00+00,IMAGERY/OTHER,2015/01/16 00:00:00+00,http://www.dsh.ca.gov/metropolitan/default.asp,NOT AVAILABLE,NOT AVAILABLE,6,GOVERNMENT - STATE,-999,1265,NOT AVAILABLE,N
29,-9946297.2053932,4591418.65040663,32,196162274,PINCKNEYVILLE COMMUNITY HOSPITAL,5383 STATE ROUTE 154,PINCKNEYVILLE,IL,62274,NOT AVAILABLE,(618) 357-2187,CRITICAL ACCESS,OPEN,17,PERRY,17145,USA,38.084846,-89.3491079999999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.illinois.gov/dataset/410idph_hospital_directory,2020/06/29 00:00:00+00,IMAGERY/OTHER,2020/05/07 00:00:00+00,http://www.pvillehosp.org/,NOT AVAILABLE,NOT AVAILABLE,17,GOVERNMENT - LOCAL,-999,17,NOT AVAILABLE,Y
30,-9034083.89055109,3761398.2822802,33,85531419,ST JOSEPH'S HOSPITAL SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31419,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,294,CHATHAM,13051,USA,31.985430321,-81.154556369,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,2020/08/08 00:00:00+00,IMAGERY/OTHER,2015/03/05 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,13,NON-PROFIT,-999,294,NOT AVAILABLE,Y
31,-9388297.01318751,3880221.59153393,35,87130286,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,30286,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,115,UPSON,13293,USA,32.886297701,-84.3365069879999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,2020/08/08 00:00:00+00,IMAGERY/OTHER,2015/03/05 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,13,NOT AVAILABLE,-999,115,NOT AVAILABLE,N
32,-9379340.60451649,3772103.68771162,36,87531719,PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,AMERICUS,GA,31719,NOT AVAILABLE,(229) 924-6011,GENERAL ACUTE CARE,OPEN,76,SUMTER,13261,USA,32.0669623380001,-84.2560501999999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,2020/08/08 00:00:00+00,IMAGERY/OTHER,2015/03/09 00:00:00+00,http://www.phoebeputney.com/phoebecontentpage.aspx?nd=1479,NOT AVAILABLE,NOT AVAILABLE,13,NOT AVAILABLE,-999,76,NOT AVAILABLE,Y
33,-9427908.7083563,3880444.70197503,37,87931830,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,6135 ROOSEVELT HIGHWAY,WARM SPRINGS,GA,31830,NOT AVAILABLE,(404) 655-5011,LONG TERM CARE,OPEN,32,MERIWETHER,13199,USA,32.887980741,-84.6923449,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.gamap2care.info/,2020/08/08 00:00:00+00,IMAGERY/OTHER,2015/03/09 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,13,NOT AVAILABLE,-999,32,NOT AVAILABLE,N
34,-9435189.2025387,3946496.43928916,38,90030265,SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PKWY,NEWNAN,GA,30265,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,50,COWETA,13077,USA,33.3848346460001,-84.757746692,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,2020/08/08 00:00:00+00,IMAGERY/OTHER,2015/03/09 00:00:00+00,http://www.cancercenter.com/southeastern/,NOT AVAILABLE,NOT AVAILABLE,13,PROPRIETARY,-999,50,NOT AVAILABLE,N
35,-7342164.95766808,2082127.16147037,39,196500984,DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO",CAROLINA,PR,984,NOT AVAILABLE,(787) 621-3322,GENERAL ACUTE CARE,OPEN,988,METRO,72031,PRI,18.3804430000001,-65.95579,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.salud.gov.pr/servicios-al-ciudadano/pages/directorio-de-hospitales-publicos-y-privados.aspx,2020/08/08 00:00:00+00,IMAGERY/OTHER,2020/05/07 00:00:00+00,https://www.tuhospitalfamiliar.com/,NOT AVAILABLE,NOT AVAILABLE,72,NOT AVAILABLE,-999,988,NOT AVAILABLE,N
36,-9787746.9790775,5546692.67652568,40,2054311,BROWN COUNTY COMMUNITY TREATMENT CTR,3150 GERSHWIN DRIVE,GREEN BAY,WI,54311,NOT AVAILABLE,(920) 391-4700,PSYCHIATRIC,OPEN,16,BROWN,55009,USA,44.522712261,-87.924827084,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,2020/08/12 00:00:00+00,IMAGERY/OTHER,2020/05/05 00:00:00+00,http://www.co.brown.wi.us/,213,NOT AVAILABLE,55,GOVERNMENT - LOCAL,-999,16,NOT AVAILABLE,N
37,-9800263.60224842,5317424.41119437,41,151253226,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,10000 WEST BLUEMOUND ROAD,WAUWATOSA,WI,53226,NOT AVAILABLE,(414) 778-7800,GENERAL ACUTE CARE,CLOSED,40,MILWAUKEE,55079,USA,43.0358121520001,-88.037265823,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,2020/08/12 00:00:00+00,IMAGERY/OTHER,2015/03/27 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,WISCONSIN HEART HOSPITAL,55,NOT AVAILABLE,-999,40,NOT AVAILABLE,N
38,-7364273.14869086,2080627.21231194,42,196600956,HOSPITAL PSIQUIATRICO DE NINOS Y ADOLESCENTES,"100 AVE LAUREL 100, URB. SANTA JUANITA",BAYAMON,PR,956,NOT AVAILABLE,(787) 786-7373,PSYCHIATRIC,OPEN,-999,BAYAMON,72021,PRI,18.3676556610001,-66.154391259,622210,"CHILDREN'S HOSPITALS, PSYCHIATRIC OR SUBSTANCE ABUSE",http://www.salud.gov.pr/servicios-al-ciudadano/pages/directorio-de-hospitales-publicos-y-privados.aspx,2020/08/08 00:00:00+00,IMAGERY/OTHER,2020/05/07 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,72,NOT AVAILABLE,-999,-999,NOT AVAILABLE,N
39,-10295047.7910042,3665544.51042234,43,159171301,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,6410 MASONIC DRIVE,ALEXANDRIA,LA,71301,NOT AVAILABLE,(318) 473-0035,GENERAL ACUTE CARE,OPEN,18,RAPIDES,22079,USA,31.2521915580001,-92.481987814,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2020/08/15 00:00:00+00,IMAGERY/OTHER,2015/05/30 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,22,NOT AVAILABLE,-999,18,NOT AVAILABLE,N
40,-10081677.9474889,3465387.99568217,44,163570394,OCSHNER ST. ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,70394,NOT AVAILABLE,(985) 537-8377,GENERAL ACUTE CARE,OPEN,38,LAFOURCHE,22057,USA,29.7026714240001,-90.565253898,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2020/08/15 00:00:00+00,IMAGERY/OTHER,2015/05/30 00:00:00+00,https://www.ochsner.org/locations/ochsner-st-anne/,NOT AVAILABLE,NOT AVAILABLE,22,NOT AVAILABLE,-999,38,NOT AVAILABLE,Y
41,-10153524.2804423,3611032.72290735,45,164970748,FELICIANA FORENSIC FACILITY,4502 HWY 951,JACKSON,LA,70748,NOT AVAILABLE,(225) 634-0216,GENERAL ACUTE CARE,OPEN,-999,EAST FELICIANA,22037,USA,30.832635688,-91.210660488,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,2020/08/15 00:00:00+00,IMAGERY/OTHER,2016/02/25 00:00:00+00,http://new.dhh.louisiana.gov/index.cfm/directory/detail/219,NOT AVAILABLE,NOT AVAILABLE,22,GOVERNMENT - STATE,-999,-999,NOT AVAILABLE,N
