code,category,long_description,short_description
G8848,,Mild obstructive sleep apnea (apnea hypopnea index (ahi) or respiratory disturbance index (rdi) of less than 15),Mild osa
Q4175,,"Miroderm, per square centimeter",Miroderm
Q5110,,"Injection, filgrastim-aafi, biosimilar, (nivestym), 1 microgram",Nivestym
A4265,,"Paraffin, per pound",Paraffin
G9787,,Patient alive as of the last day of the measurement year,Pt alive
S3600,,Stat laboratory request (situations other than s3601),Stat lab
G8573,,Stroke following isolated cabg surgery,Stk cabg
J0215,,"Injection, alefacept, 0.5 mg",Alefacept
E0273,,Bed board,Bed board
S0169,,"Calcitrol, 0.25 microgram",Calcitrol
Q4122,,"Dermacell, per square centimeter",Dermacell
A4266,,Diaphragm for contraceptive use,Diaphragm
A4619,,Face tent,Face tent
Q0114,,Fern test,Fern test
G9830,,Her-2/neu positive,Her-2 pos
K0105,,"Iv hanger, each",Iv hanger
G8595,,Most recent ldl-c < 100 mg/dl,Ldl < 100
LT   ,,Left side (used to identify procedures performed on the left side of the body),Left side
J1945,,"Injection, lepirudin, 50 mg",Lepirudin
E0951,,"Heel loop/holder, any type, with or without ankle strap, each",Loop heel
G8694,,Left ventricular ejection fraction (lvef) < 40%,Lvef <40%
J2185,,"Injection, meropenem, 100 mg",Meropenem
G9407,,Patient did not receive follow-up on or within 7 days after discharge,No 7d f/u
G8889,,"No documentation of blood pressure measurement, reason not given",No doc bp
L1080,,"Addition to ctlso or scoliosis orthosis, outrigger",Outrigger
Q4110,,"Primatrix, per square centimeter",Primatrix
G9690,,Patient receiving hospice services any time during the measurement period,Pt in hos
G9758,,Patient in hospice at any time during the measurement period,Pt in hos
S9999,,Sales tax,Sales tax
A5055,,Stoma cap,Stoma cap
A9540,,"Technetium tc-99m macroaggregated albumin, diagnostic, per study dose, up to 10 millicuries",Tc99m maa
Q4121,,"Theraskin, per square centimeter",Theraskin
J0207,,"Injection, amifostine, 500 mg",Amifostine
G9465,,I intend to report the acute otitis externa (aoe) measures group,Aoe intent
Q4125,,"Arthroflex, per square centimeter",Arthroflex
S8097,,"Asthma kit (including but not limited to portable peak expiratory flow meter, instructional video, brochure, and/or spacer)",Asthma kit
E0280,,"Bed cradle, any type",Bed cradle
E1500,,"Centrifuge, for dialysis",Centrifuge
E0459,,Chest wrap,Chest wrap
A9559,,"Cobalt co-57 cyanocobalamin, oral, diagnostic, per study dose, up to 1 microcurie",Co57 cyano
Q4106,,"Dermagraft, per square centimeter",Dermagraft
G8771,,Documentation of diagnosis of chronic kidney disease,Doc dx ckd
Q4111,,"Gammagraft, per square centimeter",Gammagraft
C1769,,Guide wire,Guide wire
G8597,,Most recent ldl-c >= 100 mg/dl,Ldl >= 100
G8738,,Left ventricular ejection fraction (lvef) < 40% or documentation of severely or moderately depressed left ventricular systolic function,Lvef < 40%
S8210,,Mucus trap,Mucus trap
RT   ,,Right side (used to identify procedures performed on the right side of the body),Right side
A4269,,"Contraceptive supply, spermicide (e.g., foam, gel), each",Spermicide
G0   ,,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an acute stroke",Telestroke
G9234,,I intend to report the total knee replacement measures group,Tkr intent
G9929,,"Patient with transient or reversible cause of af (e.g., pneumonia, hyperthyroidism, pregnancy, cardiac surgery)",Trs/rev af
V2755,,"U-v lens, per lens",Uv lens/es
S9439,,"Vbac (vaginal birth after cesarean) classes, non-physician provider, per session",Vbac class
L2190,,"Addition to lower extremity fracture orthosis, waist belt",Waist belt
J7185,,"Injection, factor viii (antihemophilic factor, recombinant) (xyntha), per i.u.",Xyntha inj
J3485,,"Injection, zidovudine, 10 mg",Zidovudine
L1930,,"Ankle foot orthosis, plastic or other material, prefabricated, includes fitting and adjustment",Afo plastic
J0480,,"Injection, basiliximab, 20 mg",Basiliximab
J0583,,"Injection, bivalirudin, 1 mg",Bivalirudin
E2396,,"Power wheelchair accessory, caster fork, any size, replacement only, each",Caster fork
E0457,,Chest shell (cuirass),Chest shell
S1002,,Customized item (list in addition to code for basic item),Custom item
S1001,,"Deluxe item, patient aware (list in addition to code for basic item)",Deluxe item
J7189,,"Factor viia (antihemophilic factor, recombinant), per 1 microgram",Factor viia
J7190,,"Factor viii (antihemophilic factor, human) per i.u.",Factor viii
J1450,,"Injection fluconazole, 200 mg",Fluconazole
Q4107,,"Graftjacket, per square centimeter",Graftjacket
G0909,,"Hemoglobin level measurement not documented, reason not given",Hbg not doc
J1640,,"Injection, hemin, 1 mg","Hemin, 1 mg"
Q4117,,"Hyalomatrix, per square centimeter",Hyalomatrix
S4011,,"In vitro fertilization; including but not limited to identification and incubation of mature oocytes, fertilization with sperm, incubation of embryo(s), and subsequent visualization for determination of development",Ivf package
G8739,,Left ventricular ejection fraction (lvef) >= 40% or documentation as normal or mildly depressed left ventricular systolic function,Lvef >= 40%
A4267,,"Contraceptive supply, condom, male, each",Male condom
C1782,,Morcellator,Morcellator
A4617,,Mouth piece,Mouth piece
G9893,,"Dilated macular exam was not performed, reason not otherwise specified",No mac exam
A4367,,"Ostomy belt, each",Ostomy belt
A4366,,"Ostomy vent, any type, each",Ostomy vent
J9263,,"Injection, oxaliplatin, 0.5 mg",Oxaliplatin
PM   ,,Post mortem,Post mortem
G9774,,Patients who have had a hysterectomy,Pt had hyst
M1054,,Patient had only urgent care visits during the performance period,Pt uc in pp
M1021,,Patient had only urgent care visits during the performance period,Pt uc in pp
J2783,,"Injection, rasburicase, 0.5 mg",Rasburicase
E1639,,"Scale, each","Scale, each"
L1050,,"Addition to ctlso or scoliosis orthosis, sternal pad",Sternal pad
T5999,,"Supply, not otherwise specified","Supply, nos"
S3900,,Surface electromyography (emg),Surface emg
Q4146,,"Tensix, per square centimeter","Tensix, 1cm"
E0243,,"Toilet rail, each",Toilet rail
M1055,,Aspirin or another antiplatelet therapy used,Aspirin used
J0456,,"Injection, azithromycin, 500 mg",Azithromycin
V2700,,"Balance lens, per lens",Balance lens
G8582,,Beta-blocker at discharge,Bblock disch
A9515,,"Choline c-11, diagnostic, per study dose up to 20 millicuries",Choline c-11
J7070,,"Infusion, d5w, 1000 cc",D5w infusion
A9556,,"Gallium ga-67 citrate, diagnostic, per millicurie",Ga67 gallium
G9237,,I intend to report the general surgery measures group,Gs mg intent
C9033,,"Injection, fosnetupitant 235 mg and palonosetron 0.25 mg","Inj, akynzeo"
Q4104,,"Integra bilayer matrix wound dressing (bmwd), per square centimeter",Integra bmwd
00000,,,Invalid Code
L1020,,"Addition to ctlso or scoliosis orthosis, kyphosis pad",Kyphosis pad
S9436,,"Childbirth preparation/lamaze classes, non-physician provider, per session",Lamaze class
L1090,,"Addition to ctlso or scoliosis orthosis, lumbar sling",Lumbar sling
G8574,,No stroke following isolated cabg surgery,No strk cabg
S0581,,Nonstandard lens (list this code in addition to the basic code for the lens),Nonstnd lens
J2501,,"Injection, paricalcitol, 1 mcg",Paricalcitol
S3721,,Prostate cancer antigen 3 (pca3) testing,Pca3 testing
M0076,,Prolotherapy,Prolotherapy
G9532,,Patient had a head ct for trauma ordered by someone other than an emergency care provideror was ordered for a reason other than trauma,Pt hd ct ord
M1062,,Patient immunocompromised,Pt imcomprmd
E2301,,"Wheelchair accessory, power standing system, any type",Pwr standing
RR   ,,Rental (use the 'rr' modifier when dme is to be rented),Rental (dme)
Q4143,,"Repriza, per square centimeter","Repriza, 1cm"
S8450,,"Splint, prefabricated, digit (specify digit by use of modifier)",Splint digit
S8452,,"Splint, prefabricated, elbow",Splint elbow
Q4130,,"Strattice tm, per square centimeter",Strattice tm
J8700,,"Temozolomide, oral, 5 mg",Temozolomide
L1060,,"Addition to ctlso or scoliosis orthosis, thoracic pad",Thoracic pad
G9459,,Currently a tobacco non-user,Tob non-user
G0127,,"Trimming of dystrophic nails, any number",Trim nail(s)
A9282,,"Wig, any type, each",Wig any type
L1270,,"Addition to tlso, (low profile), abdominal pad",Abdominal pad
E0618,,"Apnea monitor, without recording feature",Apnea monitor
G6035,,Gold,Assay of gold
Q4140,,"Biodfence, per square centimeter",Biodfence 1cm
L5686,,"Addition to lower extremity, below knee, back check (extension control)",Bk back check
L5684,,"Addition to lower extremity, below knee, fork strap",Bk fork strap
A0429,,"Ambulance service, basic life support, emergency transport (bls-emergency)",Bls-emergency
A4615,,"Cannula, nasal",Cannula nasal
H9   ,,Court-ordered,Court-ordered
A9553,,"Chromium cr-51 sodium chromate, diagnostic, per study dose, up to 250 microcuries",Cr51 chromate
G8704,,12-lead electrocardiogram (ecg) performed,Ecg performed
A4268,,"Contraceptive supply, condom, female, each",Female condom
A9587,,"Gallium ga-68, dotatate, diagnostic, 0.1 millicurie",Gallium ga-68
HQ   ,,Group setting,Group setting
P2031,,Hair analysis (excluding arsenic),Hair analysis
G9202,,Patients with a positive hepatitis c antibody test,Hep c aby pos
G0908,,Most recent hemoglobin (hgb) level > 12.0 g/dl,Hgb > 12 g/dl
J7187,,"Injection, von willebrand factor complex (humate-p), per iu vwf:rco","Humate-p, inj"
C9471,,"Hyaluronan or derivative, hymovis, for intra-articular injection, 1 mg","Hymovis, 1 mg"
G9271,,Ldl value < 100,Ldl under 100
G8717,,"Spkt/v less than 1.2 (single-pool clearance of urea [kt] / volume [v]), reason not given",Less 1.2 kt/v
G8682,,Lvf testing documented as being performed prior to discharge or in the previous 12 months,Lvg test perf
G9974,,"Dilated macular exam performed, including documentation of the presence or absence of macular thickening or geographic atrophy or hemorrhage and the level of macular degeneration severity",Mac exam perf
Q9986,,"Injection, hydroxyprogesterone caproate, (makena), 10 mg","Makena, 10 mg"
J1726,,"Injection, hydroxyprogesterone caproate, (makena), 10 mg","Makena, 10 mg"
J7298,,"Levonorgestrel-releasing intrauterine contraceptive system (mirena), 52 mg","Mirena, 52 mg"
S8042,,"Magnetic resonance imaging (mri), low-field",Mri low field
J8650,,"Nabilone, oral, 1 mg",Nabilone oral
NU   ,,New equipment,New equipment
G9404,,Patient did not receive follow-up on the date of discharge or within 30 days after discharge,No 30 day f/u
SB   ,,Nurse midwife,Nurse midwife
J8510,,"Busulfan; oral, 2 mg",Oral busulfan
A4368,,"Ostomy filter, any type, each",Ostomy filter
T2010,,"Preadmission screening and resident review (pasrr) level i identification screening, per screen",Pasrr level i
L2370,,"Addition to lower extremity, patten bottom",Patten bottom
S0580,,Polycarbonate lens (list this code in addition to the basic code for the lens),Polycarb lens
V2715,,"Prism, per lens",Prism lens/es
G0103,,Prostate cancer screening; prostate specific antigen test (psa),Psa screening
M1060,,Patient died prior to the end of the performance period,Pt died in pp
G9856,,Patient was not admitted to hospice,Pt no hospice
E1002,,"Wheelchair accessory, power seating system, tilt only",Pwr seat tilt
A9555,,"Rubidium rb-82, diagnostic, per study dose, up to 60 millicuries",Rb82 rubidium
S0516,,Safety eyeglass frames,Safety frames
A4928,,"Surgical mask, per 20",Surgical mask
E0720,,"Transcutaneous electrical nerve stimulation (tens) device, two lead, localized stimulation",Tens two lead
SN   ,,Third surgical opinion,Third opinion
J3246,,"Injection, tirofiban hcl, 0.25 mg",Tirofiban hcl
G9233,,All quality actions for the applicable measures in the total knee replacement measures group have been performed for this patient,Tkr composite
Q4204,,"Xwrap, per square centimeter",Xwrap 1 sq cm
A4719,,"""y set"" tubing for peritoneal dialysis","""y set"" tubing"
E0984,,"Manual wheelchair accessory, power add-on to convert manual wheelchair to motorized wheelchair, tiller control",Add pwr tiller
A0427,,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",Als1-emergency
J0282,,"Injection, amiodarone hydrochloride, 30 mg",Amiodarone hcl
J0285,,"Injection, amphotericin b, 50 mg",Amphotericin b
J7198,,"Anti-inhibitor, per i.u.",Anti-inhibitor
A4612,,Battery cables; replacement for patient-owned ventilator,Battery cables
S9442,,"Birthing classes, non-physician provider, per session",Birthing class
G9448,,Patients who were born in the years 1945?1965,Born 1945-1965
C8937,,"Computer-aided detection, including computer algorithm analysis of breast mri image data for lesion detection/characterization, pharmacokinetic analysis, with further physician review for interpretation (list separately in addition to code for primary procedure)",Cad breast mri
92925,,,Cardiovascular
92928,,,Cardiovascular
92929,,,Cardiovascular
C1729,,"Catheter, drainage","Cath, drainage"
T1015,,"Clinic visit/encounter, all-inclusive",Clinic service
C9488,,"Injection, conivaptan hydrochloride, 1 mg",Conivaptan hcl
S4989,,"Contraceptive intrauterine device (e.g., progestacert iud), including implants and supplies",Contracept iud
G9642,,"Current smokers (e.g., cigarette, cigar, pipe, e-cigarette or marijuana)",Current smoker
A4690,,"Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each","Dialyzer, each"
HP   ,,Doctoral level,Doctoral level
L2182,,"Addition to lower extremity fracture orthosis, drop lock knee joint",Drop lock knee
V5275,,"Ear impression, each",Ear impression
S8270,,"Enuresis alarm, using auditory buzzer and/or vibration device",Enuresis alarm
Q4186,,"Epifix, per square centimeter",Epifix 1 sq cm
S9451,,"Exercise classes, non-physician provider, per session",Exercise class
V2756,,Eye glass case,Eye glass case
S2409,,"Repair, congenital malformation of fetus, procedure performed in utero, not otherwise classified",Fetal surg noc
S8185,,Flutter device,Flutter device
J8565,,"Gefitinib, oral, 250 mg",Gefitinib oral
A0425,,"Ground mileage, per statute mile",Ground mileage
L8642,,Hallux implant,Hallux implant
G0910,,Most recent hemoglobin level <= 12.0 g/dl,Hgb <= 12 g/dl
G8976,,Most recent hemoglobin (hgb) level >= 10 g/dl,Hgb >= 10 g/dl
Q5004,,Hospice care provided in skilled nursing facility (snf),Hospice in snf
A9507,,"Indium in-111 capromab pendetide, diagnostic, per study dose, up to 10 millicuries",In111 capromab
C9030,,"Injection, copanlisib, 1 mg",Inj copanlisib
A9577,,"Injection, gadobenate dimeglumine (multihance), per ml",Inj multihance
Q4108,,"Integra matrix, per square centimeter",Integra matrix
Q4171,,"Interfyl, 1 mg","Interfyl, 1 mg"
E0500,,"Ippb machine, all types, with built-in nebulization; manual or automatic valves; internal or external power source",Ippb all types
K0038,,"Leg strap, each",Leg strap each
J7297,,"Levonorgestrel-releasing intrauterine contraceptive system (liletta), 52 mg","Liletta, 52 mg"
L8000,,"Breast prosthesis, mastectomy bra, without integrated breast prosthesis form, any size, any type",Mastectomy bra
S9977,,"Meals, per diem, not otherwise specified",Meals per diem
V2761,,"Mirror coating, any type, solid, gradient or equal, any lens material, per lens",Mirror coating
T2002,,Non-emergency transportation; per diem,N-et; per diem
G8871,,Patient not receiving a first course of anti-tnf therapy,No 1st antitnf
G8732,,"No documentation of pain assessment, reason not given",No doc of pain
G8572,,No deep sternal wound infection/mediastinitis,No ster wd ifx
L8610,,Ocular implant,Ocular implant
GP   ,,Services delivered under an outpatient physical therapy plan of care,Op pt services
G9197,,Documentation of order for first or second generation cephalosporin for antimicrobial prophylaxis,Order for ceph
E0274,,Over-bed table,Over-bed table
T2011,,"Preadmission screening and resident review (pasrr) level ii evaluation, per evaluation",Pasrr level ii
ZB   ,,Pfizer/hospira,Pfizer/hospira
G8706,,Documentation of patient reason(s) for not performing a 12-lead electrocardiogram (ecg),Pt reas no ecg
G8506,,Patient receiving angiotensin converting enzyme (ace) inhibitor or angiotensin receptor blocker (arb) therapy,Pt rec ace/arb
G9503,,Patient taking tamsulosin hydrochloride,Pt tk tams hcl
G9778,,Patients who have a diagnosis of pregnancy,Pts dx w/pregn
P9038,,"Red blood cells, irradiated, each unit",Rbc irradiated
SM   ,,Second surgical opinion,Second opinion
G0027,,Semen analysis; presence and/or motility of sperm excluding huhner,Semen analysis
G9464,,All quality actions for the applicable measures in the sinusitis measures group have been performed for this patient,Sinusitis comp
J7301,,"Levonorgestrel-releasing intrauterine contraceptive system (skyla), 13.5 mg","Skyla, 13.5 mg"
A9600,,"Strontium sr-89 chloride, therapeutic, per millicurie",Sr89 strontium
A4215,,"Needle, sterile, any size, each",Sterile needle
L6686,,"Upper extremity addition, suction socket",Suction socket
A4550,,Surgical trays,Surgical trays
S8186,,Swivel adapter,Swivel adaptor
M1005,,"Tb screening not performed or results not interpreted, reason not given",Tb scr no perf
A9504,,"Technetium tc-99m apcitide, diagnostic, per study dose, up to 20 millicuries",Tc99m apcitide
A9557,,"Technetium tc-99m bicisate, diagnostic, per study dose, up to 25 millicuries",Tc99m bicisate
A9551,,"Technetium tc-99m succimer, diagnostic, per study dose, up to 10 millicuries",Tc99m succimer
E0730,,"Transcutaneous electrical nerve stimulation (tens) device, four or more leads, for multiple nerve stimulation",Tens four lead
A9505,,"Thallium tl-201 thallous chloride, diagnostic, per millicurie",Tl201 thallium
J8705,,"Topotecan, oral, 0.25 mg",Topotecan oral
J3350,,"Injection, urea, up to 40 gm",Urea injection
G9752,,Emergency surgery,Urgent surgery
J9225,,"Histrelin implant (vantas), 50 mg",Vantas implant
G9391,,"Patient achieves refraction +-1 d for the eye that underwent cataract surgery, measured at the one month follow up visit",Achv refrac +1d
AT   ,,"Acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)",Acute treatment
Q2034,,"Influenza virus vaccine, split virus, for intramuscular use (agriflu)",Agriflu vaccine
V5274,,"Assistive listening device, not otherwise specified",Ald unspecified
Q4168,,"Amnioband, 1 mg","Amnioband, 1 mg"
E0959,,"Manual wheelchair accessory, adapter for amputee, each",Amputee adapter
S0613,,Annual gynecological examination; clinical breast examination without pelvic evaluation,Ann breast exam
VP   ,,Aphakic patient,Aphakic patient
E2209,,"Accessory, arm trough, with or without hand support, each",Arm trough each
G9435,,Aspirin prescribed at discharge,Asp presc disch
G9432,,"Asthma well-controlled based on the act, c-act, acq, or ataq score and results documented",Asth controlled
A4613,,Battery charger; replacement for patient-owned ventilator,Battery charger
G9187,,"Bundled payments for care improvement initiative home visit for patient assessment performed by a qualified health care professional for individuals not considered homebound including, but not limited to, assessment of safety, falls, clinical status, fluid status, medication reconciliation/management, patient compliance with orders/plan of care, performance of activities of daily living, appropriateness of care setting; (for use only in the meidcare-approved bundled payments for care improvement initiative); may not be billed for a 30-day period covered by a transitional care management code",Bpci home visit
E2326,,"Power wheelchair accessory, breath tube kit for sip and puff interface",Breath tube kit
T1016,,"Case management, each 15 minutes",Case management
L8614,,"Cochlear device, includes all internal and external components",Cochlear device
S0514,,"Color contact lens, per lens",Color cont lens
S0302,,Completed early periodic screening diagnosis and treatment (epsdt) service (list in addition to code for appropriate evaluation and management service),Completed epsdt
JF   ,,Compounded drug,Compounded drug
S0512,,"Daily wear specialty contact lens, per lens",Daily cont lens
G8777,,Diabetes screening test performed,Diabetes screen
G8754,,Most recent diastolic blood pressure < 90 mmhg,Dias bp less 90
V5264,,"Ear mold/insert, not disposable, any type",Ear mold/insert
G9880,,The mdpp beneficiary achieved at least 5% weight loss (wl) from his/her baseline weight in months 1-12 of the mdpp services period under the mdpp expanded model (em).this is a one-time payment available when a beneficiary first achieves at least 5% weight loss from baseline as measured by an in-person weight measurement at a core session or core maintenance session,Em 5 percent wl
G9881,,"The mdpp beneficiary achieved at least 9% weight loss (wl) from his/her baseline weight in months 1-24 under the mdpp expanded model (em).this is a one-time payment available when a beneficiary first achieves at least 9% weight loss from baseline as measured by an in-person weight measurement at a core session, core maintenance session, or ongoing maintenance session",Em 9 percent wl
Q4187,,"Epicord, per square centimeter",Epicord 1 sq cm
C9458,,"Florbetaben f18, diagnostic, per study dose, up to 8.1 millicuries",Florbetaben f18
A9586,,"Florbetapir f18, diagnostic, per study dose, up to 10 millicuries",Florbetapir f18
C1768,,"Graft, vascular","Graft, vascular"
S0091,,"Granisetron hydrochloride, 1 mg (for circumstances falling under the medicare statute, use q0166)",Granisetron 1mg
G9235,,All quality actions for the applicable measures in the general surgery measures group have been performed for this patient,Gs mg composite
S0260,,History and physical (outpatient or office) related to surgical procedure (list separately in addition to code for appropriate evaluation and management service),H&p for surgery
S8265,,Haberman feeder for cleft lip/palate,Haberman feeder
V5298,,"Hearing aid, not otherwise classified",Hearing aid noc
V5299,,"Hearing service, miscellaneous",Hearing service
G8548,,I intend to report the heart failure (hf) measures group,Hf measures grp
S9209,,"Home management of preterm premature rupture of membranes (pprom), including administrative services, professional pharmacy services, care coordination, and all necessary supplies or equipment (drugs and nursing visits coded separately), per diem (do not use this code with any home infusion per diem code)",Home mgmt pprom
Q5007,,Hospice care provided in long term care facility,Hospice in ltch
G8904,,I intend to report the hypertension (htn) measures group,Hypertension mg
A9531,,"Iodine i-131 sodium iodide, diagnostic, per microcurie (up to 100 microcuries)",I131 max 100uci
S0088,,"Imatinib, 100 mg",Imatinib 100 mg
A9548,,"Indium in-111 pentetate, diagnostic, per 0.5 millicurie",In111 pentetate
A4642,,"Indium in-111 satumomab pendetide, diagnostic, per study dose, up to 6 millicuries",In111 satumomab
G9512,,Individual had a pdc of 0.8 or greater,Indiv pdc > 0.8
Q5107,,"Injection, bevacizumab-awwb, biosimilar, (mvasi), 10 mg",Inj mvasi 10 mg
A4320,,"Irrigation tray with bulb or piston syringe, any purpose",Irrigation tray
S9443,,"Lactation classes, non-physician provider, per session",Lactation class
A4259,,"Lancets, per box of 100",Lancets per box
A5113,,"Leg strap; latex, replacement only, per set",Latex leg strap
G8736,,Most current ldl-c <100mg/dl,Ldl-c <100mg/dl
S0178,,"Lomustine, oral, 10 mg",Lomustine 10 mg
L0976,,"Lso, full corset",Lso full corset
L8020,,"Breast prosthesis, mastectomy form",Mastectomy form
Q4201,,"Matrion, per square centimeter",Matrion 1 sq cm
G8705,,Documentation of medical reason(s) for not performing a 12-lead electrocardiogram (ecg),Med reas no ecg
S0179,,"Megestrol acetate, oral, 20 mg",Megestrol 20 mg
J9209,,"Injection, mesna, 200 mg",Mesna injection
G9654,,Monitored anesthesia care (mac),Mon anesth care
S0093,,"Injection, morphine sulfate, 500 mg (loading dose for infusion pump)",Morphine 500 mg
C8900,,"Magnetic resonance angiography with contrast, abdomen","Mra w/cont, abd"
NR   ,,New when rented (use the 'nr' modifier when dme which was new at the time of rental is subsequently purchased),New when rented
G8584,,No beta-blocker at discharge,No bblock disch
S0510,,"Non-prescription lens (safety, athletic, or sunglass), per lens",Non-prscrp lens
G9291,,"Specimen site other than anatomic location of lung, is not classified as non small cell lung cancer or classified as nsclc-nos",Not nsm lung ca
ZA   ,,Novartis/sandoz,Novartis/sandoz
S9452,,"Nutrition classes, non-physician provider, per session",Nutrition class
J8501,,"Aprepitant, oral, 5 mg",Oral aprepitant
J7527,,"Everolimus, oral, 0.25 mg",Oral everolimus
G9438,,P2y inhibitor prescribed at discharge,P2y inhib presc
S9444,,"Parenting classes, non-physician provider, per session",Parenting class
G8575,,Developed postoperative renal failure or required dialysis,Postop ren fail
G9615,,Preoperative assessment documented,Pre-op asst doc
J7506,,"Prednisone, oral, per 5 mg",Prednisone oral
G8711,,Prescribed or dispensed antibiotic,Pres antibiotic
G8564,,"Patient was referred to a physician (preferably a physician with training in disorders of the ear) for an otologic evaluation, reason not specified)",Pt ref oto eval
G9648,,Patients with 90 day mrs score greater than 2,Pt w/90d mrs >2
Q4195,,"Puraply, per square centimeter",Puraply 1 sq cm
G8490,,I intend to report the rheumatoid arthritis (ra) measures group,Ra measures grp
L3350,,Heel wedge,Shoe heel wedge
L3340,,"Heel wedge, sach",Shoe wedge sach
A4740,,"Shunt accessory, for hemodialysis, any type, each",Shunt accessory
J7520,,"Sirolimus, oral, 1 mg","Sirolimus, oral"
E0162,,Sitz bath chair,Sitz bath chair
Q4200,,"Skin te, per square centimeter",Skin te 1 sq cm
E1811,,"Static progressive stretch knee device, extension and/or flexion, with or without range of motion adjustment, includes all components and accessories",Sps knee device
A6410,,"Eye pad, sterile, each",Sterile eye pad
S0518,,Sunglasses frames,Sunglass frames
G8752,,Most recent systolic blood pressure < 140 mmhg,Sys bp less 140
S0187,,"Tamoxifen citrate, oral, 10 mg",Tamoxifen 10 mg
A9510,,"Technetium tc-99m disofenin, diagnostic, per study dose, up to 15 millicuries",Tc99m disofenin
A9503,,"Technetium tc-99m medronate, diagnostic, per study dose, up to 30 millicuries",Tc99m medronate
A9539,,"Technetium tc-99m pentetate, diagnostic, per study dose, up to 25 millicuries",Tc99m pentetate
A9500,,"Technetium tc-99m sestamibi, diagnostic, per study dose",Tc99m sestamibi
E0705,,"Transfer device, any type, each",Transfer device
L1070,,"Addition to ctlso or scoliosis orthosis, trapezius sling",Trapezius sling
Q4129,,"Unite biomatrix, per square centimeter",Unite biomatrix
A4336,,"Incontinence supply, urethral insert, any type, each",Urethral insert
A5112,,"Urinary drainage bag, leg or abdomen, latex, with or without tube, with straps, each",Urinary leg bag
A4480,,Vabra aspirator,Vabra aspirator
J1562,,"Injection, immune globulin (vivaglobin), 100 mg","Vivaglobin, inj"
L8510,,Voice amplifier,Voice amplifier
A4452,,"Tape, waterproof, per 18 square inches",Waterproof tape
E0983,,"Manual wheelchair accessory, power add-on to convert manual wheelchair to motorized wheelchair, joystick control",Add pwr joystick
C1765,,Adhesion barrier,Adhesion barrier
L5321,,"Above knee, molded socket, open end, sach foot, endoskeletal system, single axis knee",Ak open end sach
S0170,,"Anastrozole, oral, 1 mg",Anastrozole 1 mg
G8579,,Antiplatelet medication at discharge,Antplt med disch
G8895,,Oral aspirin or other antithrombotic therapy prescribed,Antrom prescribe
G6044,,Cocaine or metabolite,Assay of cocaine
G6034,,Doxepin,Assay of doxepin
G6040,,Alcohol (ethanol); any specimen except breath,Assay of ethanol
G6056,,"Opiate(s), drug and metabolites, each procedure",Assay of opiates
S9441,,"Asthma education, non-physician provider, per session",Asthma education
G9167,,"Attention functional limitation, discharge status at discharge from therapy or to end reporting",Atten d/c status
G8583,,Beta-blocker contraindicated,Bblock contraind
E0276,,"Bed pan, fracture, metal or plastic",Bed pan fracture
E0275,,"Bed pan, standard, metal or plastic",Bed pan standard
S0506,,"Bifocal vision prescription lens (safety, athletic, or sunglass), per lens",Bifoc prscp lens
P9011,,"Blood, split unit",Blood split unit
G8886,,Most recent blood pressure under control,Bp under control
