PRODUCTID,PRODUCTNDC,PRODUCTTYPENAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,DEASCHEDULE
0009-0038_154d8a84-46b5-45ea-a94b-99667586e557,0009-0038,BULK INGREDIENT,Methylprednisolone,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,METHYLPREDNISOLONE,1,kg/kg,
0009-0042_099751a4-3aec-4dd8-85eb-035572b346e3,0009-0042,BULK INGREDIENT,Alprostadil,POWDER,20150826,,BULK INGREDIENT,Pharmacia and Upjohn Company,ALPROSTADIL,1,kg/kg,
0009-0043_ffd728ca-dcc7-41cd-8bc0-abc2f1a23ae6,0009-0043,BULK INGREDIENT,Anidulafungin,POWDER,20150826,,BULK INGREDIENT,Pharmacia and Upjohn Company,ANIDULAFUNGIN,1,kg/kg,
0009-0046_d6f26856-1fb4-4690-ab02-bacaa1719ce6,0009-0046,BULK INGREDIENT,Parecoxib,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,PARECOXIB,1,kg/kg,
0009-0052_310112b1-73db-4e34-bc47-e73734c9fd97,0009-0052,BULK INGREDIENT,progesterone,POWDER,20150811,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,PROGESTERONE,1,kg/kg,
0009-0058_1ba55a2a-45d1-48e7-a66c-d3d720c57fca,0009-0058,BULK INGREDIENT,Dinoprostone,POWDER,20150826,,BULK INGREDIENT,Pharmacia and Upjohn Company,15-EPI-PROSTAGLANDIN E2,1,kg/kg,
0009-0060_cacae886-8e11-4ad2-a933-7f46fe7fb950,0009-0060,BULK INGREDIENT,Eplerenone,POWDER,20150826,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,EPLERENONE,1,kg/kg,
0009-0062_cdd19a68-3abc-48a3-a19a-10ff5820199b,0009-0062,BULK INGREDIENT,Methyprednisolone,POWDER,20150826,,BULK INGREDIENT,Pharmacia and Upjohn Company,METHYLPREDNISOLONE HEMISUCCINATE,1,kg/kg,
0009-0063_535769f4-4277-4e89-bb92-508d519bc4cb,0009-0063,BULK INGREDIENT,CLindamycin Palmitate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,CLINDAMYCIN PALMITATE,1,kg/kg,
0009-0067_ed6b7813-e280-4a46-a360-3a0313cbe8af,0009-0067,BULK INGREDIENT,Medroxyprogesterone,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,MEDROXYPROGESTERONE ACETATE,1,kg/kg,
0009-0069_f4994c06-20ba-4f00-8252-ba2ad94363dd,0009-0069,BULK INGREDIENT,Hydrocortisone,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,HYDROCORTISONE,1,kg/kg,
0009-0074_0d6b9834-f13d-4f97-bc4e-4e3d26c9d49d,0009-0074,BULK INGREDIENT,Testosterone,POWDER,20000101,,DRUG FOR FURTHER PROCESSING,Pharmacia and Upjohn Company LLC,TESTOSTERONE,1,kg/kg,
0009-0075_fb1161e0-6f7f-44a9-a15c-c8344c7995d2,0009-0075,BULK INGREDIENT,Trenbolone Acetate,POWDER,20160524,,DRUG FOR FURTHER PROCESSING,Pharmacia and Upjohn Company LLC,TRENBOLONE ACETATE,1,kg/kg,
0009-0076_6e796b6f-0948-4841-af17-ff629d0a8aff,0009-0076,BULK INGREDIENT,Androstenedione,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,ANDROSTENEDIONE,1,kg/kg,
0009-0077_f36164a5-d6d6-48a8-b0dc-467f35033bad,0009-0077,BULK INGREDIENT,Heparin Sodium,POWDER,20140325,,BULK INGREDIENT FOR ANIMAL DRUG COMPOUNDING,Pharmacia and Upjohn Company,HEPARIN SODIUM,1,kg/kg,
0009-0087_8ea079c7-d319-445c-b7b4-69dbb4605faf,0009-0087,BULK INGREDIENT,Phenytoin Sodium,POWDER,20131213,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,PHENYTOIN SODIUM,1,kg/kg,
0009-0106_189a43fa-7d6e-40a8-8402-7807602ac0dc,0009-0106,DRUG FOR FURTHER PROCESSING,Taliglucerase alfa,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",20120501,,DRUG FOR FURTHER PROCESSING,Pharmacia and Upjohn Company LLC,TALIGLUCERASE ALFA,200,U/5mL,
0009-0488_48452bdc-3689-47a1-b2b9-0263be59a49a,0009-0488,BULK INGREDIENT,Phenytoin,POWDER,20131213,,BULK INGREDIENT,Pharmacia and Upjohn Company,PHENYTOIN,1,kg/kg,
0009-5010_d480e2da-f59a-4f36-a4ab-7d48ffae3033,0009-5010,BULK INGREDIENT,Dexamethasone Acetate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,DEXAMETHASONE ACETATE,1,kg/kg,
0009-5019_455e4250-0f00-4eb0-a4cf-dea3e9b5c29d,0009-5019,BULK INGREDIENT,Dexamethasone,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,DEXAMETHASONE,1,kg/kg,
0009-5020_b25a1d7e-acfc-4cbf-84f5-e9863f514ae8,0009-5020,BULK INGREDIENT,Testosterone,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,1-TESTOSTERONE,1,kg/kg,
0009-5023_0b3c1f08-7f52-4799-afa4-2abe927879d4,0009-5023,BULK INGREDIENT,Progesterone,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,PROGESTERONE,1,kg/kg,
0009-5023_594b03eb-bb99-4fb7-9440-e802fe8b844c,0009-5023,BULK INGREDIENT,Progesterone,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,PROGESTERONE,1,kg/kg,
0009-5023_c5a466cc-250d-4bf7-a093-f5283c5197a8,0009-5023,BULK INGREDIENT,Progesterone,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,PROGESTERONE,1,kg/kg,
0009-5025_52b8ba69-0134-4d66-bc82-891bb574637e,0009-5025,BULK INGREDIENT,Dexamethasone Acetate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,DEXAMETHASONE ACETATE,1,kg/kg,
0009-5027_dd280447-64e9-454d-92fb-90ccc4af2660,0009-5027,BULK INGREDIENT,Dexamethasone Sodium Phosphate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,DEXAMETHASONE SODIUM PHOSPHATE,1,kg/kg,
0009-5030_9c50997e-1f22-4ee7-bc89-e50f47ff7576,0009-5030,BULK INGREDIENT,Megestrol Acetate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,MEGESTROL ACETATE,1,kg/kg,
0009-5030_d9854a2e-296b-41fd-848e-0765c8f6c5fa,0009-5030,BULK INGREDIENT,Megestrol Acetate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,MEGESTROL ACETATE,1,kg/kg,
0009-5031_eaa6e0a8-70aa-4535-9ce4-28d7ed2fa692,0009-5031,BULK INGREDIENT,Dinoprost Tromethamine,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,DINOPROST TROMETHAMINE,1,kg/kg,
0009-5033_ed641311-7b23-43e0-a81c-91b9609e6791,0009-5033,BULK INGREDIENT,Prednisolone,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,PREDNISOLONE,1,kg/kg,
0009-5036_f09f742f-4df4-461e-bcd7-0c70fe20a981,0009-5036,BULK INGREDIENT,Testosterone Undecanoate,POWDER,20140314,,BULK INGREDIENT,Pharmacia and Upjohn Company,TESTOSTERONE UNDECANOATE,1,kg/kg,
0009-5038_3e135443-09d3-4ff5-9dc6-697ae0b39eb6,0009-5038,BULK INGREDIENT,Spectinomycin,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,SPECTINOMYCIN,1,kg/kg,
0009-5038_46fd43df-05f1-4d5a-bb5d-58dbc84e0895,0009-5038,BULK INGREDIENT,Spectinomycin,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,SPECTINOMYCIN,1,kg/kg,
0009-5038_d86ebb6c-113f-491e-9ab6-7e009959ae74,0009-5038,BULK INGREDIENT,Spectinomycin,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,SPECTINOMYCIN,1,kg/kg,
0009-5039_d7d404d6-df5f-45bc-9e85-f6ce9c9b9b24,0009-5039,BULK INGREDIENT,Prednisone,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,PREDNISONE,1,kg/kg,
0009-5055_75235366-d42c-4ab6-b0d1-510bdfbb2c9f,0009-5055,BULK INGREDIENT,Minoxidil,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,MINOXIDIL,1,kg/kg,
0009-5055_c1f7b4d5-04d9-4571-9ec7-d3793f2e5270,0009-5055,BULK INGREDIENT,Minoxidil,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,MINOXIDIL,1,kg/kg,
0009-5058_49657071-d6c4-4ecc-8dce-262d6b4534a0,0009-5058,BULK INGREDIENT,Betamethasone Valerate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,BETAMETHASONE VALERATE,1,kg/kg,
0009-5086_da58daab-e325-4fe7-a309-44cf0e4d2f81,0009-5086,BULK INGREDIENT,Hydrocortisone Hemisuccinate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,HYDROCORTISONE HEMISUCCINATE,1,kg/kg,
0009-5097_74503ede-df73-4454-8ccb-38e92f6b6891,0009-5097,BULK INGREDIENT,Medroxyprogesterone Acetate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,MEDROXYPROGESTERONE ACETATE,1,kg/kg,
0009-5107_699278a5-822a-488a-a57e-0f92aaae80e9,0009-5107,BULK INGREDIENT,Novobiocin,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,NOVOBIOCIN,1,kg/kg,
0009-5123_bdf3c6d5-668c-490e-be03-5bf3859905ad,0009-5123,BULK INGREDIENT,Testosterone Propionate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,TESTOSTERONE PROPIONATE,1,kg/kg,
0009-5144_5bece8fd-3bc9-40f0-b07b-bb324c31c42b,0009-5144,BULK INGREDIENT,Alprazolam,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,ALPRAZOLAM,1,kg/kg,
0009-5157_13ab4318-33d5-4cc2-bae6-9f3d3b72e986,0009-5157,BULK INGREDIENT,Linezolid,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,LINEZOLID,1,kg/kg,
0009-5161_0768e56c-d099-4e8b-b83b-9a92f08d8d79,0009-5161,BULK INGREDIENT,Hydrocortisone Acetate,POWDER,20140710,,BULK INGREDIENT,Pharmacia and Upjohn Company,HYDROCORTISONE ACETATE,1,kg/kg,
0009-5164_01324ba3-c824-4cd2-8fa4-e8d516acf486,0009-5164,BULK INGREDIENT,Epoprostenol Sodium,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,EPOPROSTENOL SODIUM,1,kg/kg,
0009-5168_d90371f2-691a-401a-b4ea-2a64df568432,0009-5168,BULK INGREDIENT,LINCOMYCIN HYDROCHLORIDE,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,LINCOMYCIN HYDROCHLORIDE,1,kg/kg,
0009-5172_0fe9e6a1-8e02-44a3-8af1-82e4f53ef274,0009-5172,BULK INGREDIENT,Latanoprost,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,LATANOPROST,1,kg/kg,
0009-5188_29d7ea1d-41d6-4ddd-88a9-86f3d56999d2,0009-5188,BULK INGREDIENT,Triazolam,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,TRIAZOLAM,1,kg/kg,
0009-5230_1a2b3d17-f2d1-4728-8c01-214464694ef5,0009-5230,BULK INGREDIENT,Minoxidil,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,MINOXIDIL,1,kg/kg,
0009-5238_11f92c23-bcdb-4df8-9233-1d49c5bc7863,0009-5238,BULK INGREDIENT,Neomycin Sulfate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,NEOMYCIN SULFATE,1,kg/kg,
0009-5238_6ecb6149-a27a-4c01-84a1-987879a92535,0009-5238,BULK INGREDIENT,Neomycin Sulfate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,NEOMYCIN SULFATE,1,kg/kg,
0009-5238_7b9afa2a-a78b-4a8b-abf2-576960e585e5,0009-5238,BULK INGREDIENT,Neomycin Sulfate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,NEOMYCIN SULFATE,1,kg/kg,
0009-5275_970d22a8-e4e5-4769-8fa0-5ccaa2dfeebf,0009-5275,BULK INGREDIENT,Hydrocortisone,POWDER,20140710,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,HYDROCORTISONE,1,kg/kg,
0009-5276_dcadf07c-680f-48de-a9e2-0d71c064e171,0009-5276,BULK INGREDIENT,Eplerenone,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,EPLERENONE,1,kg/kg,
0009-5610_a5a35be0-5fb1-4738-8db5-86ab38818ada,0009-5610,BULK INGREDIENT,Diflorasone Diacetate,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company,DIFLORASONE DIACETATE,1,kg/kg,
0009-5620_ed5a9db3-d2b2-4f67-a6ee-ff639bbb9836,0009-5620,BULK INGREDIENT,Progesterone,POWDER,20140703,,BULK INGREDIENT,Pharmacia and Upjohn Company LLC,PROGESTERONE,1,kg/kg,
0023-1111_ed710728-ffb8-409a-a768-5d63b3528c1e,0023-1111,BULK INGREDIENT,botulinum toxin type A,LIQUID,19891215,,BULK INGREDIENT,"Allergan, Inc.",BOTULINUM TOXIN TYPE A,1,mg/mg,
0031-8719_5e3dda51-7417-4b25-aaa1-06b41f1434ee,0031-8719,BULK INGREDIENT,DEXTROMETHORPHAN HYDROBROMIDE AND GUAIFENESIN,"CAPSULE, LIQUID FILLED",20130523,,DRUG FOR FURTHER PROCESSING,Richmond Division of Wyeth,DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,10; 200,mg/1; mg/1,
0031-8729_b2690497-2af5-45f5-8f34-6a06bcb0205f,0031-8729,BULK INGREDIENT,"Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride",SYRUP,20150901,,DRUG FOR FURTHER PROCESSING,Richmond Division of Wyeth,DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN; PHENYLEPHRINE HYDROCHLORIDE,10; 100; 5,mg/5mL; mg/5mL; mg/5mL,
0044-0175_9089ecfc-c09b-46ed-b590-c6c8e87b3d08,0044-0175,BULK INGREDIENT,Divalproex Sodium,POWDER,20130101,20171215,BULK INGREDIENT,Abbott Laboratories,DIVALPROEX SODIUM,1,kg/kg,
0044-3699_c850c911-b933-4a9b-a6ed-af0a010e884e,0044-3699,BULK INGREDIENT,Clarithromycin,POWDER,20130101,20171110,BULK INGREDIENT,Abbott Laboratories,CLARITHROMYCIN,1,kg/kg,
0069-4260_3e5541b7-b2f1-4bbf-969d-ada708b388ef,0069-4260,BULK INGREDIENT,prazosin hydrochloride,TABLET,20140901,,DRUG FOR FURTHER PROCESSING,Pfizer Laboratories Div Pfizer Inc,PRAZOSIN HYDROCHLORIDE,2.5,mg/1,
0069-4270_3e5541b7-b2f1-4bbf-969d-ada708b388ef,0069-4270,BULK INGREDIENT,prazosin hydrochloride,TABLET,20140901,,DRUG FOR FURTHER PROCESSING,Pfizer Laboratories Div Pfizer Inc,PRAZOSIN HYDROCHLORIDE,5,mg/1,
0074-0522_72c8c6a5-68c5-7152-1c8a-4274fda5d248,0074-0522,DRUG FOR FURTHER PROCESSING,Lopinavir and Ritonavir,"TABLET, FILM COATED",20100618,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,LOPINAVIR; RITONAVIR,100; 25,mg/1; mg/1,
0074-2552_50cd65ef-ddb1-1206-45ce-94cba10a84f0,0074-2552,BULK INGREDIENT,Erythromycin Thiocyanate,POWDER,20150910,,BULK INGREDIENT,AbbVie Inc.,ERYTHROMYCIN THIOCYANATE,1,kg/kg,
0074-2586_b8c5eecd-89c5-eb6f-1169-61f915ab4336,0074-2586,DRUG FOR FURTHER PROCESSING,Clarithromycin,"TABLET, FILM COATED",19911031,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,CLARITHROMYCIN,500,mg/1,
0074-2638_de3c2861-48fc-f313-60b9-eacd94170bd4,0074-2638,DRUG FOR FURTHER PROCESSING,Vedolizumab,LIQUID,20160929,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,VEDOLIZUMAB,96000,mg/1600mL,
0074-3287_9ff819a3-c693-224d-1fce-ca813aecdc2d,0074-3287,DRUG FOR FURTHER PROCESSING,Trandolapril and Verapamil Hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",19961022,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,TRANDOLAPRIL; VERAPAMIL HYDROCHLORIDE,2; 180,mg/1; mg/1,
0074-3288_9ff819a3-c693-224d-1fce-ca813aecdc2d,0074-3288,DRUG FOR FURTHER PROCESSING,Trandolapril and Verapamil Hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",19961022,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,TRANDOLAPRIL; VERAPAMIL HYDROCHLORIDE,1; 240,mg/1; mg/1,
0074-3289_9ff819a3-c693-224d-1fce-ca813aecdc2d,0074-3289,DRUG FOR FURTHER PROCESSING,Trandolapril and Verapamil Hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",19961022,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,TRANDOLAPRIL; VERAPAMIL HYDROCHLORIDE,2; 240,mg/1; mg/1,
0074-3290_9ff819a3-c693-224d-1fce-ca813aecdc2d,0074-3290,DRUG FOR FURTHER PROCESSING,Trandolapril and Verapamil Hydrochloride,"TABLET, FILM COATED, EXTENDED RELEASE",19961022,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,TRANDOLAPRIL; VERAPAMIL HYDROCHLORIDE,4; 240,mg/1; mg/1,
0074-3333_65161582-6ef8-ae9a-f25a-86120f6ea065,0074-3333,DRUG FOR FURTHER PROCESSING,Ritonavir,"TABLET, FILM COATED",20100506,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,RITONAVIR,100,mg/1,
0074-3650_71127413-9212-49e9-5184-d76193b9668e,0074-3650,BULK INGREDIENT,Choline Fenofibrate,TABLET,20091110,,BULK INGREDIENT,Abbott Laboratories,FENOFIBRIC ACID,1,1-Jan,
0074-5503_9367cc5c-faf0-c1cb-0551-b1a26ea0423b,0074-5503,BULK INGREDIENT,Cyclosporine,POWDER,20100524,,BULK INGREDIENT,AbbVie Inc.,CYCLOSPORINE,1,kg/kg,
0074-5614_4331c281-2873-cca8-2201-3966bf2f14e3,0074-5614,BULK INGREDIENT,Erythromycin,POWDER,20150715,,BULK INGREDIENT,AbbVie Inc.,ERYTHROMYCIN,1,kg/kg,
0074-6122_d86294e4-979f-f91c-d4f6-1bb795fc65aa,0074-6122,DRUG FOR FURTHER PROCESSING,Fenofibrate,TABLET,20041105,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,FENOFIBRATE,48,mg/1,
0074-6123_d86294e4-979f-f91c-d4f6-1bb795fc65aa,0074-6123,DRUG FOR FURTHER PROCESSING,Fenofibrate,TABLET,20041105,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,FENOFIBRATE,145,mg/1,
0074-6799_72c8c6a5-68c5-7152-1c8a-4274fda5d248,0074-6799,DRUG FOR FURTHER PROCESSING,Lopinavir and Ritonavir,"TABLET, FILM COATED",20100618,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,LOPINAVIR; RITONAVIR,200; 50,mg/1; mg/1,
0074-9189_735e3ede-6fb2-50ab-cc1f-c816af16e99d,0074-9189,BULK INGREDIENT,Fenofibric Acid,"CAPSULE, DELAYED RELEASE",20081215,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,FENOFIBRIC ACID,135,mg/1,
0074-9642_735e3ede-6fb2-50ab-cc1f-c816af16e99d,0074-9642,BULK INGREDIENT,Fenofibric Acid,"CAPSULE, DELAYED RELEASE",20081215,,DRUG FOR FURTHER PROCESSING,AbbVie Inc.,FENOFIBRIC ACID,45,mg/1,
0078-0853_666083c6-2062-41ff-8b51-56152501fb8e,0078-0853,DRUG FOR FURTHER PROCESSING,clozapine,POWDER,19890930,,DRUG FOR FURTHER PROCESSING,Novartis Pharmaceuticals Corporation,CLOZAPINE,1,kg/kg,
0079-1375_d87b0036-9ccf-4b47-9978-bf84154534b3,0079-1375,BULK INGREDIENT,Carisoprodol,POWDER,20120101,,BULK INGREDIENT,Alltech Associates Inc,CARISOPRODOL,1000,mg/1000mg,CIV
0079-1650_17f83ded-1c49-478e-9005-5ef1ab6a4f79,0079-1650,BULK INGREDIENT,"N,N-Dimethyl-5-methoxytryptamine",POWDER,20120101,,BULK INGREDIENT,Alltech Associates Inc,"N,N-DIMETHYL-5-METHOXYTRYPTAMINE",1000,mg/1000mg,CI
0087-2875_20acbaa1-f362-4394-ac00-d3f98d5969b1,0087-2875,BULK INGREDIENT,IRBESARTAN AND HYDROCHLOROTHIAZIDE,"TABLET, FILM COATED",20110201,,DRUG FOR FURTHER PROCESSING,Bristol-Myers Squibb Company,IRBESARTAN; HYDROCHLOROTHIAZIDE,150; 12.5,mg/1; mg/1,
0087-2876_20acbaa1-f362-4394-ac00-d3f98d5969b1,0087-2876,BULK INGREDIENT,IRBESARTAN AND HYDROCHLOROTHIAZIDE,"TABLET, FILM COATED",20110125,,DRUG FOR FURTHER PROCESSING,Bristol-Myers Squibb Company,IRBESARTAN; HYDROCHLOROTHIAZIDE,300; 12.5,mg/1; mg/1,
0089-0175_f40f335d-284a-4b7a-ab64-6b9d6f446f42,0089-0175,BULK INGREDIENT,beclomethasone dipropionate,"AEROSOL, METERED",20140915,,DRUG FOR FURTHER PROCESSING,3M Company,BECLOMETHASONE DIPROPIONATE,40,ug/1,
0089-0177_f40f335d-284a-4b7a-ab64-6b9d6f446f42,0089-0177,BULK INGREDIENT,beclomethasone dipropionate,"AEROSOL, METERED",20140915,,DRUG FOR FURTHER PROCESSING,3M Company,BECLOMETHASONE DIPROPIONATE,80,ug/1,
0089-1206_ccbe4ef3-d6bd-4a50-b263-9aeef846a4b1,0089-1206,BULK INGREDIENT,beclomethasone dipropionate,"AEROSOL, METERED",20150201,,DRUG FOR FURTHER PROCESSING,3M Company,BECLOMETHASONE DIPROPIONATE,40,ug/1,
0089-1210_ae8be07e-9b84-4004-8e34-a6b9f4cd4126,0089-1210,BULK INGREDIENT,beclomethasone dipropionate,"AEROSOL, METERED",20120413,,DRUG FOR FURTHER PROCESSING,3M Company,BECLOMETHASONE DIPROPIONATE,80,ug/1,
0089-5870_78ed9756-8932-4ffc-aec3-2ae53faac17d,0089-5870,BULK INGREDIENT,Flurandrenolide,TAPE,20160815,,DRUG FOR FURTHER PROCESSING,3m Company,FLURANDRENOLIDE,4,ug/cm2,
0110-0465_0e5c2d4a-1592-4b75-a1d4-aa8c01b669d1,0110-0465,BULK INGREDIENT,Tadalafil,POWDER,20110523,,BULK INGREDIENT,"Lilly del Caribe, Inc.",TADALAFIL,1,kg/kg,
