row_id,icd9_code,short_title,long_title
55,1735,lap left hemicolectomy,laparoscopic left hemicolectomy
56,1736,lap sigmoidectomy,laparoscopic sigmoidectomy
57,1739,lap pt ex lrg intest nec,other laparoscopic partial excision of large intestine
58,1601,orbitotomy w bone flap,orbitotomy with bone flap
59,1602,orbitotomy w implant,orbitotomy with insertion of orbital implant
60,1609,orbitotomy nec,other orbitotomy
61,161,remove penetrat fb eye,"removal of penetrating foreign body from eye, not otherwise specified"
62,1621,ophthalmoscopy,ophthalmoscopy
63,1622,diagnostic asp of orbit,diagnostic aspiration of orbit
64,1623,eyeball & orbit biopsy,biopsy of eyeball and orbit
65,1629,eyebal/orbit dx proc nec,other diagnostic procedures on orbit and eyeball
66,1631,eye evisc w synch implan,removal of ocular contents with synchronous implant into scleral shell
67,1639,eyeball evisceration nec,other evisceration of eyeball
68,1641,eye enuc/implan/musc att,enucleation of eyeball with synchronous implant into tenon's capsule with attachment of muscles
69,1642,eye enuc w implant nec,enucleation of eyeball with other synchronous implant
70,1649,eyeball enucleation nec,other enucleation of eyeball
71,1651,radical orbitomaxillect,exenteration of orbit with removal of adjacent structures
72,1652,orbit exent w bone remov,exenteration of orbit with therapeutic removal of orbital bone
73,1659,orbital exenteration nec,other exenteration of orbit
74,1661,2ndry ocular imp insert,secondary insertion of ocular implant
75,1662,revis/reinsert ocul imp,revision and reinsertion of ocular implant
76,1663,revis enuc socket w grft,revision of enucleation socket with graft
77,1664,enuc socket revis nec,other revision of enucleation socket
78,1665,2ndry exent cavity graft,secondary graft to exenteration cavity
79,1666,revis exenter cavity nec,other revision of exenteration cavity
80,1669,2nd op post eye rem nec,other secondary procedures after removal of eyeball
81,1671,remove ocular implant,removal of ocular implant
82,1672,remove orbital implant,removal of orbital implant
83,1681,repair of orbital wound,repair of wound of orbit
84,63,perc ins carotid stent,percutaneous insertion of carotid artery stent(s)
85,64,perc ins extracran stent,percutaneous insertion of other extracranial artery stent(s)
86,65,perc ins intracran stent,percutaneous insertion of intracranial vascular stent(s)
87,66,ptca,percutaneous transluminal coronary angioplasty [ptca]
88,67,intravas msmnt thorc art,intravascular pressure measurement of intrathoracic arteries
89,68,intravas msmt periph art,intravascular pressure measurement of peripheral arteries
90,69,intravs msmt ves nec/nos,"intravascular pressure measurement, other specified and unspecified vessels"
91,70,rev hip repl-acetab/fem,"revision of hip replacement, both acetabular and femoral components"
92,71,rev hip repl-acetab comp,"revision of hip replacement, acetabular component"
93,72,rev hip repl-fem comp,"revision of hip replacement, femoral component"
94,73,rev hip repl-liner/head,"revision of hip replacement, acetabular liner and/or femoral head only"
95,74,"hip surface, metal/poly","hip bearing surface, metal-on-polyethylene"
96,75,"hip surface, metal/metal","hip bearing surface, metal-on-metal"
97,76,"hip surface, cermc/cermc","hip bearing surface, ceramic-on-ceramic"
98,77,"hip surface, cermc/poly","hip bearing surface, ceramic-on-polyethylene"
99,80,rev knee replacemt-total,"revision of knee replacement, total (all components)"
100,81,rev knee repl-tibia comp,"revision of knee replacement, tibial component"
101,82,rev knee repl-femur comp,"revision of knee replacement, femoral component"
102,83,rev knee replace-patella,"revision of knee replacement, patellar component"
103,84,rev knee repl-tibia lin,"revision of total knee replacement, tibial insert (liner)"
104,85,"resrf hip,total-acet/fem","resurfacing hip, total, acetabulum and femoral head"
105,86,"resrf hip,part-fem head","resurfacing hip, partial, femoral head"
106,87,"resrf hip,part-acetablum","resurfacing hip, partial, acetabulum"
107,91,trnsplnt live rel donor,transplant from live related donor
108,92,trnsplnt live nonrel don,transplant from live non-related donor
109,93,transplant cadaver donor,transplant from cadaver
110,94,intra-op neurophys montr,intra-operative neurophysiologic monitoring
111,95,injct/infus glucarpidase,injection or infusion of glucarpidase
112,96,infusion 4f-pcc,infusion of 4-factor prothrombin complex concentrate
113,101,cisternal puncture,cisternal puncture
114,102,ventricl shunt tube punc,ventriculopuncture through previously implanted catheter
115,109,cranial puncture nec,other cranial puncture
116,110,intracran pressure montr,intracranial pressure monitoring
117,111,clos cereb meninges bx,closed [percutaneous] [needle] biopsy of cerebral meninges
118,112,open cereb meninges bx,open biopsy of cerebral meninges
119,113,closed brain biopsy,closed [percutaneous] [needle] biopsy of brain
120,114,open brain biopsy,open biopsy of brain
121,115,skull biopsy,biopsy of skull
122,116,intracranial 02 monitor,intracranial oxygen monitoring
123,117,brain temp monitoring,brain temperature monitoring
124,118,other brain dx procedure,other diagnostic procedures on brain and cerebral meninges
125,119,other skull dx procedure,other diagnostic procedures on skull
126,120,imp/repl brain pulse gen,cranial implantation or replacement of neurostimulator pulse generator
127,121,cranial sinus i & d,incision and drainage of cranial sinus
128,122,removal brain stim lead,removal of intracranial neurostimulator lead(s)
129,123,reopen craniotomy site,reopening of craniotomy site
130,124,other craniotomy,other craniotomy
131,125,other craniectomy,other craniectomy
132,126,ins cath cranial cav/tis,insertion of catheter(s) into cranial cavity or tissue
133,127,rem cath cranial cav/tis,removal of catheter(s) from cranial cavity or tissue
134,128,intracereb cth-burr hole,placement of intracerebral catheter(s) via burr hole(s)
135,129,rem brain pulse generatr,removal of cranial neurostimulator pulse generator
136,1,ther ult head & neck ves,therapeutic ultrasound of vessels of head and neck
137,2,ther ultrasound of heart,therapeutic ultrasound of heart
138,3,ther ult peripheral ves,therapeutic ultrasound of peripheral vascular vessels
139,9,other therapeutic ultsnd,other therapeutic ultrasound
140,10,implant chemothera agent,implantation of chemotherapeutic agent
141,11,infus drotrecogin alfa,infusion of drotrecogin alfa (activated)
142,12,adm inhal nitric oxide,administration of inhaled nitric oxide
143,13,inject/infus nesiritide,injection or infusion of nesiritide
144,14,injection oxazolidinone,injection or infusion of oxazolidinone class of antibiotics
145,15,high-dose infusion il-2,high-dose infusion interleukin-2 [il-2]
146,16,pressurized treat graft,pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance
147,17,infusion of vasopressor,infusion of vasopressor agent
148,18,infus immunosup antibody,infusion of immunosuppressive antibody therapy
149,19,bbbd via infusion,disruption of blood brain barrier via infusion [bbbd]
150,21,ivus extracran cereb ves,intravascular imaging of extracranial cerebral vessels
151,22,ivus intrathoracic ves,intravascular imaging of intrathoracic vessels
152,23,ivus peripheral vessels,intravascular imaging of peripheral vessels
153,24,ivus coronary vessels,intravascular imaging of coronary vessels
154,25,ivus renal vessels,intravascular imaging of renal vessels
155,28,intravascul imaging nec,"intravascular imaging, other specified vessel(s)"
156,29,intravascul imaging nos,"intravascular imaging, unspecified vessel(s)"
157,31,cas w ct/cta,computer assisted surgery with ct/cta
158,32,cas w mr/mra,computer assisted surgery with mr/mra
159,33,cas w fluoroscopy,computer assisted surgery with fluoroscopy
160,34,imageless comp asst surg,imageless computer assisted surgery
161,35,cas w multiple datasets,computer assisted surgery with multiple datasets
162,39,other cas,other computer assisted surgery
163,40,procedure-one vessel,procedure on single vessel
164,41,procedure-two vessels,procedure on two vessels
165,42,procedure-three vessels,procedure on three vessels
166,43,procedure-four+ vessels,procedure on four or more vessels
167,44,proc-vessel bifurcation,procedure on vessel bifurcation
168,45,insert 1 vascular stent,insertion of one vascular stent
169,46,insert 2 vascular stents,insertion of two vascular stents
170,47,insert 3 vascular stents,insertion of three vascular stents
171,48,insert 4+ vasculr stents,insertion of four or more vascular stents
172,49,supersat o2 therapy,supersaturated oxygen therapy
173,50,impl crt pacemaker sys,"implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [crt-p]"
174,51,impl crt defibrillat sys,"implantation of cardiac resynchronization defibrillator, total system [crt-d]"
175,52,imp/rep lead lf ven sys,implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system
176,53,imp/rep crt pacemakr gen,implantation or replacement of cardiac resynchronization pacemaker pulse generator only [crt-p]
177,54,imp/rep crt defib genat,implantation or replacement of cardiac resynchronization defibrillator pulse generator only [crt-d]
178,55,ins d-e stent oth periph,insertion of drug-eluting stent(s) of other peripheral vessel(s)
179,56,ins/rep sens-crd/vsl mtr,insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring
180,57,imp/rep subcue card dev,implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring
181,58,ins intra-ansm pres mntr,insertion of intra-aneurysm sac pressure monitoring device (intraoperative)
182,59,intravasc msmnt cor art,intravascular pressure measurement of coronary arteries
183,60,ins d-e stnt sup fem art,insertion of drug-eluting stent(s) of superficial femoral artery
184,61,perc angio extracran ves,percutaneous angioplasty of extracranial vessel(s)
185,62,perc angio intracran ves,percutaneous angioplasty of intracranial vessel(s)
186,331,spinal tap,spinal tap
187,332,spinal cord/meninges bx,biopsy of spinal cord or spinal meninges
188,339,other spinal dx proc,other diagnostic procedures on spinal cord and spinal canal structures
189,351,spine meningocele repair,repair of spinal meningocele
190,352,myelomeningocel repair,repair of spinal myelomeningocele
191,353,vertebral fx repair,repair of vertebral fracture
192,359,spinal struct repair nec,other repair and plastic operations on spinal cord structures
193,36,spinal cord adhesiolysis,lysis of adhesions of spinal cord and nerve roots
194,371,subarach-periton shunt,spinal subarachnoid-peritoneal shunt
195,372,subarach-ureteral shunt,spinal subarachnoid-ureteral shunt
196,379,oth spinal thecal shunt,other shunt of spinal theca
197,38,destr inject-spine canal,injection of destructive agent into spinal canal
198,390,insert spinal canal cath,insertion of catheter into spinal canal for infusion of therapeutic or palliative substances
199,391,anesth inject-spin canal,injection of anesthetic into spinal canal for analgesia
200,392,spinal canal inject nec,injection of other agent into spinal canal
201,393,imp/repl spine stim lead,implantation or replacement of spinal neurostimulator lead(s)
202,394,removal spine stim lead,removal of spinal neurostimulator lead(s)
203,395,spinal patch,spinal blood patch
204,396,percutan facet denervat,percutaneous denervation of facet
205,397,revise spine theca shunt,revision of spinal thecal shunt
206,398,remove spine theca shunt,removal of spinal thecal shunt
207,399,spine canal struc op nec,other operations on spinal cord and spinal canal structures
208,401,excision acoustc neuroma,excision of acoustic neuroma
209,402,trigeminal nerv division,division of trigeminal nerve
210,403,periph nerve div nec,division or crushing of other cranial and peripheral nerves
211,404,periph nerve incis nec,other incision of cranial and peripheral nerves
212,405,gasserian ganglionectomy,gasserian ganglionectomy
213,406,periph ganglionect nec,other cranial or peripheral ganglionectomy
214,407,periph nerv excision nec,other excision or avulsion of cranial and peripheral nerves
215,201,linear craniectomy,opening of cranial suture
216,202,elevate skull fx fragmnt,elevation of skull fracture fragments
217,203,skull flap formation,formation of cranial bone flap
218,204,bone graft to skull,bone graft to skull
219,205,skull plate insertion,insertion of skull plate
220,206,cranial osteoplasty nec,other cranial osteoplasty
221,207,skull plate removal,removal of skull plate
222,211,simple suture of dura,simple suture of dura mater of brain
223,212,brain meninge repair nec,other repair of cerebral meninges
224,213,meninge vessel ligation,ligation of meningeal vessel
225,214,choroid plexectomy,choroid plexectomy
226,221,insert/replace evd,insertion or replacement of external ventricular drain [evd]
227,222,intrcran vent shunt/anas,intracranial ventricular shunt or anastomosis
228,231,ventricl shunt-head/neck,ventricular shunt to structure in head and neck
229,232,ventri shunt-circula sys,ventricular shunt to circulatory system
230,233,ventricl shunt-thorax,ventricular shunt to thoracic cavity
231,234,ventricl shunt-abdomen,ventricular shunt to abdominal cavity and organs
232,235,ventri shunt-uninary sys,ventricular shunt to urinary system
233,239,vent shunt extracran nec,ventricular shunt to extracranial site nec
234,241,irrigate/expl vent shunt,irrigation and exploration of ventricular shunt
235,242,replace ventricle shunt,replacement of ventricular shunt
236,243,remove ventricle shunt,removal of ventricular shunt
237,291,lysis cortical adhesion,lysis of cortical adhesions
238,292,brain repair,repair of brain
239,293,imp/repl brain stim lead,implantation or replacement of intracranial neurostimulator lead(s)
240,294,insert/replac skull tong,insertion or replacement of skull tongs or halo traction device
241,295,remove skull tongs,removal of skull tongs or halo traction device
242,296,insert sphenoid electrod,insertion of sphenoidal electrodes
243,299,skull & brain op nec,"other operations on skull, brain, and cerebral meninges"
244,301,removal fb spinal canal,removal of foreign body from spinal canal
245,302,reopen laminectomy site,reopening of laminectomy site
246,309,spinal canal explor nec,other exploration and decompression of spinal canal
247,321,percutaneous chordotomy,percutaneous chordotomy
248,329,other chordotomy,other chordotomy
249,131,incise cerebral meninges,incision of cerebral meninges
250,132,lobotomy & tractotomy,lobotomy and tractotomy
251,139,other brain incision,other incision of brain
252,141,thalamus operations,operations on thalamus
253,142,globus pallidus ops,operations on globus pallidus
254,151,ex cereb meningeal les,excision of lesion or tissue of cerebral meninges
255,152,hemispherectomy,hemispherectomy
256,844,lid recons entropion rep,repair of entropion or ectropion with lid reconstruction
257,849,entropion/ectrop rep nec,other repair of entropion or ectropion
258,851,canthotomy,canthotomy
259,852,blepharorrhaphy,blepharorrhaphy
260,859,adjust lid position nec,other adjustment of lid position
261,861,lid reconst w skin graft,reconstruction of eyelid with skin flap or graft
262,862,lid reconst w muc graft,reconstruction of eyelid with mucous membrane flap or graft
263,863,lid reconst w hair graft,reconstruction of eyelid with hair follicle graft
264,864,lid recon-tarsoconj flap,reconstruction of eyelid with tarsoconjunctival flap
265,869,lid reconstr w graft nec,other reconstruction of eyelid with flaps or grafts
266,870,lid reconstruction nos,"reconstruction of eyelid, not otherwise specified"
267,871,lid marg recon-part thic,"reconstruction of eyelid involving lid margin, partial-thickness"
268,872,lid recons-part thic nec,"other reconstruction of eyelid, partial-thickness"
269,873,lid marg recons ful thic,"reconstruction of eyelid involving lid margin, full-thickness"
270,874,lid reconst-ful thic nec,"other reconstruction of eyelid, full-thickness"
271,881,linear rep lid lacer,linear repair of laceration of eyelid or eyebrow
272,882,lid marg lac rx-part th,"repair of laceration involving lid margin, partial-thickness"
273,883,lid lacer rx-prt th nec,"other repair of laceration of eyelid, partial-thickness"
274,884,lid marg lac rx-ful thic,"repair of laceration involving lid margin, full-thickness"
275,885,lid lac rx-ful thic nec,"other repair of laceration of eyelid, full-thickness"
276,886,lower lid rhytidectomy,lower eyelid rhytidectomy
277,887,upper lid rhytidectomy,upper eyelid rhytidectomy
278,889,eyelid repair nec,other eyelid repair
279,891,electrosurg lid epilat,electrosurgical epilation of eyelid
280,892,cryosurg lid epilation,cryosurgical epilation of eyelid
281,893,eyelid epilation nec,other epilation of eyelid
282,899,eyelid operation nec,other operations on eyelids
283,90,lacrimal gland incision,incision of lacrimal gland
284,911,lacrimal gland biopsy,biopsy of lacrimal gland
285,912,lacrimal sac biopsy,biopsy of lacrimal sac
286,919,lacrimal sys dx proc nec,other diagnostic procedures on lacrimal system
287,920,exc lacrimal gland nos,"excision of lacrimal gland, not otherwise specified"
288,921,excis les lacrimal gland,excision of lesion of lacrimal gland
289,922,part dacryoadenect nec,other partial dacryoadenectomy
290,923,total dacryoadenectomy,total dacryoadenectomy
291,941,lacrimal punctum probe,probing of lacrimal punctum
292,942,lac canaliculi probe,probing of lacrimal canaliculi
293,943,nasolacrimal duct probe,probing of nasolacrimal duct
294,944,nasolac duct intubat,intubation of nasolacrimal duct
295,949,lac passage manip nec,other manipulation of lacrimal passage
296,951,lac punctum incision,incision of lacrimal punctum
297,952,lac canaliculi incision,incision of lacrimal canaliculi
298,953,lacrimal sac incision,incision of lacrimal sac
299,959,lacrim passage incis nec,other incision of lacrimal passages
300,971,correct everted punctum,correction of everted punctum
301,972,punctum repair nec,other repair of punctum
302,973,canaliculus repair,repair of canaliculus
303,981,dacryocystorhinostomy,dacryocystorhinostomy [dcr]
304,982,conjunctivocystorhinost,conjunctivocystorhinostomy
305,983,conjunctivorhinos w tube,conjunctivorhinostomy with insertion of tube or stent
306,411,clos periph nerve biopsy,closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion
307,412,open periph nerve biopsy,open biopsy of cranial or peripheral nerve or ganglion
308,419,periph nerve dx proc nec,other diagnostic procedures on cranial and peripheral nerves and ganglia
309,441,decompress trigem root,decompression of trigeminal nerve root
310,442,cran nerv root decom nec,other cranial nerve decompression
311,443,carpal tunnel release,release of carpal tunnel
312,444,tarsal tunnel release,release of tarsal tunnel
313,449,per nerve adhesiolys nec,other peripheral nerve or ganglion decompression or lysis of adhesions
314,471,hypogloss-facial anastom,hypoglossal-facial anastomosis
315,472,accessory-facial anastom,accessory-facial anastomosis
316,473,access-hypogloss anastom,accessory-hypoglossal anastomosis
317,474,periph nerv anastom nec,other anastomosis of cranial or peripheral nerve
318,475,postop revis per nerv op,revision of previous repair of cranial and peripheral nerves
319,476,late repair per nerv inj,repair of old traumatic injury of cranial and peripheral nerves
320,479,other neuroplasty,other neuroplasty
321,480,periph nerve inject nos,"peripheral nerve injection, not otherwise specified"
322,481,anesth injec periph nerv,injection of anesthetic into peripheral nerve for analgesia
323,489,periph nerve inject nec,"injection of other agent, except neurolytic"
324,491,neurectasis,neurectasis
325,492,imp/repl peri stim lead,implantation or replacement of peripheral neurostimulator lead(s)
326,493,removal peri stim lead,removal of peripheral neurostimulator lead(s)
327,499,peripheral nerve ops nec,other operations on cranial and peripheral nerves
328,511,sympathetic nerve biopsy,biopsy of sympathetic nerve or ganglion
329,519,sympath nrv dx proc nec,other diagnostic procedures on sympathetic nerves or ganglia
330,521,sphenopalatin ganglionec,sphenopalatine ganglionectomy
331,522,cervical sympathectomy,cervical sympathectomy
332,523,lumbar sympathectomy,lumbar sympathectomy
333,524,presacral sympathectomy,presacral sympathectomy
334,525,periart sympathectomy,periarterial sympathectomy
335,529,other sympathectomy,other sympathectomy and ganglionectomy
336,531,anesth inject symp nerve,injection of anesthetic into sympathetic nerve for analgesia
337,532,neurolyt injec-symp nrv,injection of neurolytic agent into sympathetic nerve
338,539,sympath nerve inject nec,other injection into sympathetic nerve or ganglion
339,581,sympathetic nerve repair,repair of sympathetic nerve or ganglion
340,589,sympathetic nerve op nec,other operations on sympathetic nerves or ganglia
341,601,thyroid field aspiration,aspiration of thyroid field
342,602,reopen thyroid field wnd,reopening of wound of thyroid field
343,609,incis thyroid field nec,other incision of thyroid field
344,611,closed thyroid gland bx,closed [percutaneous] [needle] biopsy of thyroid gland
345,612,open thyroid gland bx,open biopsy of thyroid gland
346,613,parathyroid biopsy,biopsy of parathyroid gland
347,619,thyr/parathy dx proc nec,other diagnostic procedures on thyroid and parathyroid glands
348,631,excision thyroid lesion,excision of lesion of thyroid
349,639,part thyroidectomy nec,other partial thyroidectomy
350,650,substern thyroidect nos,"substernal thyroidectomy, not otherwise specified"
351,651,part substern thyroidect,partial substernal thyroidectomy
352,652,tot substern thyroidect,complete substernal thyroidectomy
353,681,total parathyroidectomy,complete parathyroidectomy
354,689,other parathyroidectomy,other parathyroidectomy
355,691,thyroid isthmus division,division of thyroid isthmus
356,692,thyroid vessel ligation,ligation of thyroid vessels
357,693,thyroid suture,suture of thyroid gland
358,694,thyroid reimplantation,thyroid tissue reimplantation
359,695,parathyroid reimplant,parathyroid tissue reimplantation
360,698,other thyroid operations,other operations on thyroid glands
361,699,other parathyroid ops,other operations on parathyroid glands
362,700,adrenal exploration nos,"exploration of adrenal field, not otherwise specified"
363,701,unilat adrenal explorat,unilateral exploration of adrenal field
364,702,bilat adrenal explorat,bilateral exploration of adrenal field
365,711,closed adrenal gland bx,closed [percutaneous] [needle] biopsy of adrenal gland
366,712,open adrenal gland bx,open biopsy of adrenal gland
367,713,transfront pituitary bx,"biopsy of pituitary gland, transfrontal approach"
368,714,transphen pituitary bx,"biopsy of pituitary gland, transsphenoidal approach"
369,715,pituitary biopsy nos,"biopsy of pituitary gland, unspecified approach"
370,716,thymus biopsy,biopsy of thymus
371,717,pineal biopsy,biopsy of pineal gland
372,719,endocrine dx proc nec,"other diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus"
373,721,adrenal lesion excision,excision of lesion of adrenal gland
374,722,unilateral adrenalectomy,unilateral adrenalectomy
375,729,part adrenalectomy nec,other partial adrenalectomy
376,741,adrenal incision,incision of adrenal gland
377,742,adrenal nerve division,division of nerves to adrenal glands
378,743,adrenal vessel ligation,ligation of adrenal vessels
379,744,adrenal repair,repair of adrenal gland
380,745,adrenal reimplantation,reimplantation of adrenal tissue
381,749,adrenal operation nec,"other operations on adrenal glands, nerves, and vessels"
382,751,pineal field exploration,exploration of pineal field
383,752,pineal gland incision,incision of pineal gland
384,753,partial pinealectomy,partial excision of pineal gland
385,754,total pinealectomy,total excision of pineal gland
386,759,pineal operation nec,other operations on pineal gland
387,761,exc pituit les-transfron,"partial excision of pituitary gland, transfrontal approach"
388,762,exc pituit les-transphen,"partial excision of pituitary gland, transsphenoidal approach"
389,763,part excis pituitary nos,"partial excision of pituitary gland, unspecified approach"
390,764,tot exc pituit-transfron,"total excision of pituitary gland, transfrontal approach"
391,765,tot exc pituit-transphen,"total excision of pituitary gland, transsphenoidal approach"
392,768,total exc pituitary nec,"total excision of pituitary gland, other specified approach"
393,769,total exc pituitary nos,"total excision of pituitary gland, unspecified approach"
394,771,pituitary fossa explorat,exploration of pituitary fossa
395,772,pituitary gland incision,incision of pituitary gland
396,779,pituitary operation nec,other operations on hypophysis
397,780,thymectomy nos,"thymectomy, not otherwise specified"
398,781,oth part excision thymus,other partial excision of thymus
399,782,oth totl excision thymus,other total excision of thymus
400,783,thorac part exisn thymus,thoracoscopic partial excision of thymus
401,784,thorac total exc thymus,thoracoscopic total excision of thymus
402,791,thymus field exploration,exploration of thymus field
403,792,other incision of thymus,other incision of thymus
404,793,repair of thymus,repair of thymus
405,794,thymus transplantation,transplantation of thymus
406,795,thorac incision thymus,thoracoscopic incision of thymus
407,798,oth thorac op thymus nos,other and unspecified thoracoscopic operations on thymus
408,799,other thymus ops nos,other and unspecified operations on thymus
409,801,incision of lid margin,incision of lid margin
410,802,blepharorrhaphy severing,severing of blepharorrhaphy
411,809,other eyelid incision,other incision of eyelid
412,811,eyelid biopsy,biopsy of eyelid
413,819,eyelid dx procedure nec,other diagnostic procedures on eyelid
414,820,remove eyelid lesion nos,"removal of lesion of eyelid, not otherwise specified"
415,821,chalazion excision,excision of chalazion
416,822,excise minor les lid nec,excision of other minor lesion of eyelid
417,823,exc maj les lid prt-thic,"excision of major lesion of eyelid, partial-thickness"
418,824,exc maj les lid ful-thic,"excision of major lesion of eyelid, full-thickness"
419,825,destruction lid lesion,destruction of lesion of eyelid
420,831,ptosis rep-front mus sut,repair of blepharoptosis by frontalis muscle technique with suture
421,832,ptosis rep-fron mus slng,repair of blepharoptosis by frontalis muscle technique with fascial sling
422,833,ptosis rep-levat mus adv,repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis
423,834,ptosis rep-levat mus nec,repair of blepharoptosis by other levator muscle techniques
424,835,ptos rep-tarsal techniq,repair of blepharoptosis by tarsal technique
425,836,blepharoptos repair nec,repair of blepharoptosis by other techniques
426,837,reduc overcorrect ptosis,reduction of overcorrection of ptosis
427,838,correct lid retraction,correction of lid retraction
428,841,thermocaut/entropion rep,repair of entropion or ectropion by thermocauterization
429,842,suture entropion repair,repair of entropion or ectropion by suture technique
430,843,wedg resec entropion rep,repair of entropion or ectropion with wedge resection
431,1421,chorioret les diathermy,destruction of chorioretinal lesion by diathermy
432,1422,chorioretin les cryother,destruction of chorioretinal lesion by cryotherapy
433,2932,pharyngeal diverticulec,pharyngeal diverticulectomy
434,2933,pharyngectomy,pharyngectomy (partial)
435,2939,excis/destr les phar nec,other excision or destruction of lesion or tissue of pharynx
436,2951,suture of pharyngeal lac,suture of laceration of pharynx
437,2952,clos branch cleft fistul,closure of branchial cleft fistula
438,2953,clos pharynx fistula nec,closure of other fistula of pharynx
439,2954,lysis pharyngeal adhes,lysis of pharyngeal adhesions
440,2959,pharyngeal repair nec,other repair of pharynx
441,3322,fiber-optic bronchoscopy,fiber-optic bronchoscopy
442,3323,other bronchoscopy,other bronchoscopy
443,3324,closed bronchial biopsy,closed [endoscopic] biopsy of bronchus
444,3325,open bronchial biopsy,open biopsy of bronchus
445,3326,closed lung biopsy,closed [percutaneous] [needle] biopsy of lung
446,3327,clos endoscopic lung bx,closed endoscopic biopsy of lung
447,3328,open lung biopsy,open biopsy of lung
