row_id,itemid,label,linksto
388,422,lcwi,chartevents
389,423,ll strength/movement,chartevents
390,424,lle [temp],chartevents
391,425,lll lung sounds,chartevents
392,426,lu strength/movement,chartevents
393,427,lue [temp],chartevents
394,428,lul lung sounds,chartevents
395,429,lvad flow lpm,chartevents
396,430,lvsw,chartevents
397,431,lvswi,chartevents
398,432,level of conscious,chartevents
399,434,low exhaled min vol,chartevents
400,435,low exhaled vt,chartevents
401,436,low insp. pressure,chartevents
402,437,low peep,chartevents
403,438,map,chartevents
404,439,mdi #1 [puff],chartevents
405,440,mdi #2 [puff],chartevents
406,441,mdi #3 [puff],chartevents
407,442,manual bp [systolic],chartevents
408,443,manual bp mean(calc),chartevents
409,444,mean airway pressure,chartevents
410,445,mech. minute volume,chartevents
411,446,micro-neb treatment,chartevents
412,447,minimal leak present,chartevents
413,448,minute volume,chartevents
414,449,minute volume (set),chartevents
415,450,minute volume(obser),chartevents
416,453,motor deficits,chartevents
417,454,motor response,chartevents
418,455,nbp [systolic],chartevents
419,456,nbp mean,chartevents
420,457,nmb medication,chartevents
421,458,nares [right],chartevents
422,459,neg insp force(>-25),chartevents
423,460,nerve stimulated,chartevents
424,461,neuro drain drainage,chartevents
425,462,neuro drain [level],chartevents
426,463,neuro drain status,chartevents
427,464,neuro drain type,chartevents
428,465,neuro symptoms,chartevents
429,466,nursing consultation,chartevents
430,467,o2 delivery device,chartevents
431,468,o2 delivery device#2,chartevents
432,469,o2 delivery mode,chartevents
433,470,o2 flow (lpm),chartevents
434,471,o2 flow (lpm) #2,chartevents
435,472,o2av,chartevents
436,473,o2avi,chartevents
437,474,o2er,chartevents
438,477,oral care,chartevents
439,478,oral cavity,chartevents
440,479,orientation,chartevents
441,480,orthostat bp sitting [systolic],chartevents
442,481,orthostat hr sitting,chartevents
443,482,orthostatbp standing [systolic],chartevents
444,483,orthostathr standing,chartevents
445,484,orthostatic bp lying [systolic],chartevents
446,485,orthostatic hr lying,chartevents
447,486,ostomy care,chartevents
448,487,ostomy [type],chartevents
449,490,pao2,chartevents
450,491,pap mean,chartevents
451,492,pap [systolic],chartevents
452,493,pca 1 hr limit (mg),chartevents
453,494,pca basal rate,chartevents
454,495,pca bolus,chartevents
455,496,pca dose,chartevents
456,497,patient controlled analgesia (pca) [inject],chartevents
457,498,pca lockout (min),chartevents
458,499,pca medication,chartevents
459,500,pca total dose,chartevents
460,501,pcv exh vt (obser),chartevents
461,502,pcv insp vt (obser),chartevents
462,503,pcv set insp. press,chartevents
463,504,pcwp,chartevents
464,505,peep,chartevents
465,506,peep set,chartevents
466,507,pip,chartevents
467,508,pt splint #1 [location],chartevents
468,509,pt splint #2 [location],chartevents
469,510,pt splint #3 [location],chartevents
470,511,pt splint #4 [location],chartevents
471,512,pvr,chartevents
472,513,pvri,chartevents
473,515,pacemaker mode,chartevents
474,516,pacemaker type,chartevents
475,517,pacer rate,chartevents
476,518,pacer wire condition,chartevents
477,519,pacer wires atrial,chartevents
478,520,pacer wires ground,chartevents
479,521,pacer wires vent,chartevents
480,522,pain cause,chartevents
481,523,pain level (movemnt),chartevents
482,524,pain level (rest),chartevents
483,525,pain location,chartevents
484,526,pain management [route/status #1],chartevents
485,527,pain type,chartevents
486,529,pause time %,chartevents
487,530,peak flow,chartevents
488,531,peak flow % (pred),chartevents
489,532,peak flow (calc),chartevents
490,533,peak flow (pred),chartevents
491,534,peak flow (actual),chartevents
492,535,peak insp. pressure,chartevents
493,536,peri care,chartevents
494,537,pericard drain site,chartevents
495,538,pericard drain stat,chartevents
496,539,pericardial drainage,chartevents
497,541,petco2/tcco2,chartevents
498,542,pin care,chartevents
499,543,plateau pressure,chartevents
500,544,plateau time (7200),chartevents
501,545,plateau-off,chartevents
502,546,popliteal pulse [right],chartevents
503,547,position,chartevents
504,548,position change,chartevents
505,549,posttib. pulses [right],chartevents
506,550,precautions,chartevents
507,551,pressure sore #1 [stage],chartevents
508,552,pressure sore #2 [stage],chartevents
509,553,pressure sore #3 [stage],chartevents
510,554,press sore site #2,chartevents
511,555,presssore depth #1,chartevents
512,556,presssore depth #2,chartevents
513,557,presssore depth #3,chartevents
514,558,pressure sore #1 [drainage],chartevents
515,559,pressure sore #2 [drainage],chartevents
516,560,pressure sore #3 [drainage],chartevents
517,561,pressure sore #1 [width],chartevents
518,562,pressure sore #2 [width],chartevents
519,563,pressure sore #3 [width],chartevents
520,564,presssorecleansing#1,chartevents
521,565,presssorecleansing#2,chartevents
522,566,presssorecleansing#3,chartevents
523,567,presssoretreatment#1,chartevents
524,568,presssoretreatment#2,chartevents
525,569,presssoretreatment#3,chartevents
526,570,presssorewoundbase#1,chartevents
527,571,presssorewoundbase#2,chartevents
528,572,presssorewoundbase#3,chartevents
529,573,pressure sore odor#1,chartevents
530,574,pressure sore odor#2,chartevents
531,575,pressure sore odor#3,chartevents
532,576,pressure sore site#1,chartevents
533,577,pressure sore site#3,chartevents
534,578,pressure support,chartevents
535,579,pressurereducedevice,chartevents
536,580,previous weight,chartevents
537,581,previous weightf,chartevents
538,582,procedures,chartevents
539,583,pulses paradoxus,chartevents
540,584,pupil response [right],chartevents
541,585,pupil size [right],chartevents
542,586,qtc,chartevents
543,587,qs/qt,chartevents
544,588,rcw,chartevents
545,589,rcwi,chartevents
546,590,rl strength/movement,chartevents
547,591,rle [temperature],chartevents
548,592,rle [sensation],chartevents
549,593,rll lung sounds,chartevents
550,594,rom [type],chartevents
551,595,rsbi (<200),chartevents
552,596,ru strength/movement,chartevents
553,597,rue [temperature],chartevents
554,598,rue [sensation],chartevents
555,599,rul lung sounds,chartevents
556,600,rvad flow lpm,chartevents
557,601,rvsw,chartevents
558,602,rvswi,chartevents
559,603,radial pulse [right],chartevents
560,604,radiologic study,chartevents
561,605,reason for restraint,chartevents
562,606,rec. breath pressure,chartevents
563,607,rec.breath time(sec),chartevents
564,608,recruit breath,chartevents
565,609,remote alarm,chartevents
566,610,removed x 5 mins,chartevents
567,611,replace rate ml/hr,chartevents
568,612,replace.fluid infuse,chartevents
569,613,resp quotient - (r),chartevents
570,614,resp rate (spont),chartevents
571,615,resp rate (total),chartevents
572,616,respiratory effort,chartevents
573,617,respiratory pattern,chartevents
574,618,respiratory rate,chartevents
575,619,respiratory rate set,chartevents
576,620,responds to stimuli [type],chartevents
577,621,restraint location,chartevents
578,622,restraint type,chartevents
579,623,restraints evaluated,chartevents
580,624,return pressure mmhg,chartevents
581,625,svi,chartevents
582,626,svr,chartevents
583,627,svri,chartevents
584,628,sedation score,chartevents
585,629,seizure activity,chartevents
586,630,seizure duration,chartevents
587,631,sensitivity-vent,chartevents
588,632,sensory level,chartevents
589,637,side rails,chartevents
590,638,sigh rate,chartevents
591,639,sigh tidal volume,chartevents
592,640,significant events,chartevents
593,641,sitter,chartevents
594,642,skin care,chartevents
595,643,skin color,chartevents
596,644,skin integrity,chartevents
597,645,skin [temperature],chartevents
598,646,spo2,chartevents
599,647,spare trach present,chartevents
600,648,speech,chartevents
601,649,spiritual support,chartevents
602,650,spon minute ve l/min,chartevents
603,651,spon rr (mech.),chartevents
604,652,spon. vt (l) (mech.),chartevents
605,653,spont. resp. rate,chartevents
606,654,spont. tidal volume,chartevents
607,655,spontaneous movement,chartevents
608,656,sputum [color],chartevents
609,657,sputum source,chartevents
610,659,stool [color],chartevents
611,660,stool guaiac,chartevents
612,661,stool management,chartevents
613,662,stroke volume,chartevents
614,663,support systems,chartevents
615,664,swan svo2,chartevents
616,665,system integrity,chartevents
617,666,systolic unloading,chartevents
618,667,tcpcv apnea settings,chartevents
619,668,tcpcv fixed i time,chartevents
620,669,tcpcv i:e ratio,chartevents
621,670,tcpcv insp. pressure,chartevents
622,671,tcpcv insp. time,chartevents
623,672,tcpcv-map,chartevents
624,673,tof response/twitch,chartevents
625,674,temp. site,chartevents
626,676,temperature c,chartevents
627,677,temperature c (calc),chartevents
628,678,temperature f,chartevents
629,679,temperature f (calc),chartevents
630,680,therapeutic bed,chartevents
631,681,tidal volume,chartevents
632,682,tidal volume (obser),chartevents
633,683,tidal volume (set),chartevents
634,684,tidal volume (spont),chartevents
635,686,total peep level,chartevents
636,687,trach care,chartevents
637,688,trach [cuff],chartevents
638,689,trach date,chartevents
639,690,trach size,chartevents
640,691,tracheostomy cuff,chartevents
641,692,tracheostomy type,chartevents
642,693,tract/imm location#1,chartevents
643,694,tract/imm location#2,chartevents
644,695,tract/imm location#3,chartevents
645,696,tract/imm location#4,chartevents
646,697,traction/immobile #1,chartevents
647,698,traction/immobile #2,chartevents
648,699,traction/immobile #3,chartevents
649,700,traction/immobile #4,chartevents
650,701,transcut pacer rate,chartevents
651,702,transcut pad place,chartevents
652,703,transcutan pacer,chartevents
653,704,turn,chartevents
654,705,untoward effect,chartevents
655,706,urine [color],chartevents
656,707,urine source,chartevents
657,708,vad beat rate [right],chartevents
658,709,vco2 (180-200),chartevents
659,710,ven lumen volume,chartevents
660,711,vo2,chartevents
661,712,vo2 (200-250),chartevents
662,713,vo2i,chartevents
663,715,vd/vt ratio (40-60%),chartevents
664,716,venous pressure,chartevents
665,717,ventricular pacemaker [sense],chartevents
666,718,ventricular pacemaker threshold [unit],chartevents
667,719,ventricular pacemaker [ma],chartevents
668,720,ventilator mode,chartevents
669,721,ventilator no.,chartevents
670,722,ventilator type,chartevents
671,723,verbal response,chartevents
672,724,vision - epap,chartevents
673,725,vision - ipap,chartevents
674,726,vision - mode,chartevents
675,727,vision fio2,chartevents
676,728,vision mask,chartevents
677,729,vision rate,chartevents
678,730,vital cap (>1.0)l,chartevents
679,731,warming [device],chartevents
680,732,waveform-vent,chartevents
681,733,weight change,chartevents
682,734,working pressure,chartevents
683,735,wound care,chartevents
684,741,avdo2,chartevents
685,742,calprevflg,chartevents
686,762,admit wt,chartevents
687,763,daily weight,chartevents
688,768,act (102-142),chartevents
689,769,alt,chartevents
690,770,ast,chartevents
691,772,albumin (>3.2),chartevents
692,773,alk. phosphate,chartevents
693,774,ammonia,chartevents
694,775,amylase,chartevents
695,776,arterial base excess,chartevents
696,777,arterial co2(calc),chartevents
697,778,arterial paco2,chartevents
698,779,arterial pao2,chartevents
699,780,arterial ph,chartevents
700,781,bun (6-20),chartevents
701,782,bleeding time,chartevents
702,783,blood products,chartevents
703,784,cpk,chartevents
704,785,cpk/mb,chartevents
705,786,calcium (8.4-10.2),chartevents
706,787,carbon dioxide,chartevents
707,788,chloride (100-112),chartevents
708,789,cholesterol (<200),chartevents
709,791,creatinine (0-1.3),chartevents
710,792,cyclosporin,chartevents
711,793,d-dimer (0-500),chartevents
712,794,differential-atyps,chartevents
713,795,differential-bands,chartevents
714,796,differential-basos,chartevents
715,797,differential-eos,chartevents
716,798,differential-lymphs,chartevents
717,799,differential-monos,chartevents
718,800,differential-polys,chartevents
719,801,digoxin,chartevents
720,802,dilantin,chartevents
721,803,direct bili (0-0.3),chartevents
722,804,ethanol,chartevents
723,805,fk506,chartevents
724,806,fibrinogen (150-400),chartevents
725,807,fingerstick glucose,chartevents
726,808,gentamycin/peak,chartevents
727,809,gentamycin/random,chartevents
728,810,gentamycin/trough,chartevents
729,811,glucose (70-105),chartevents
730,812,hco3,chartevents
731,813,hematocrit,chartevents
732,814,hemoglobin,chartevents
733,815,inr (2-4 ref. range),chartevents
734,816,ionized calcium,chartevents
735,817,ldh,chartevents
736,818,lactic acid(0.5-2.0),chartevents
737,819,lidocaine,chartevents
738,820,lipase,chartevents
739,821,magnesium (1.6-2.6),chartevents
740,822,mixed venous o2,chartevents
741,823,mixed venous o2% sat,chartevents
742,824,pt(11-13.5),chartevents
743,825,ptt(22-35),chartevents
744,826,phenobarbital,chartevents
745,827,phosphorous(2.7-4.5),chartevents
746,828,platelets,chartevents
747,829,potassium (3.5-5.3),chartevents
748,831,procan,chartevents
749,3056,apnea interval time,chartevents
750,3058,shaved,chartevents
751,3059,ree,chartevents
752,3060,rq,chartevents
753,3061,vco2,chartevents
754,3063,high mv limits,chartevents
755,3064,disconnect alarm,chartevents
756,3066,albumin,chartevents
757,3067,fem map,chartevents
758,3068,high pressure limit,chartevents
759,3069,art r groin,chartevents
760,3070,nicardipine (mg/h),chartevents
761,3071,ace wrap b legs,chartevents
762,3072,iron  45-160,chartevents
763,3074,trf   200-400,chartevents
764,3075,caltibc  264-432,chartevents
765,3077,migh min volume,chartevents
766,3078,alarm/high minute vl,chartevents
767,3079,high volume,chartevents
768,3081,spont tv's,chartevents
769,3082,high tidal vol,chartevents
770,3083,spont tidal volumes,chartevents
771,3084,photosensitive prec,chartevents
772,3086,spont vt's,chartevents
773,3087,dextran 40  10%,chartevents
774,3088,dextran 40%,chartevents
775,3089,elevate r arm,chartevents
776,3090,elevate r leg 2 pil,chartevents
777,3091,pillow around r arm,chartevents
778,3094,(l) fem art,chartevents
779,3095,(r) fem art,chartevents
780,3097,lf flap pulse,chartevents
781,3098,hi mv,chartevents
782,3099,t3 cc/hr,chartevents
783,3100,low mv,chartevents
784,3101,high minute volume,chartevents
785,3102,nicardipine mcq/kg/',chartevents
786,3105,high min.vol.,chartevents
787,3106,alcohol gtt,chartevents
788,3107,ins time,chartevents
789,3108,pa pressure,chartevents
790,3109,sodium bicarb,chartevents
791,3110,bicarb drip 200/200,chartevents
792,3111,cpap level,chartevents
793,3112,epinephrine mcg/min,chartevents
794,3113,high min.vol,chartevents
795,3114,pcv driving pressure,chartevents
796,3115,pcv total pressure,chartevents
797,3118,thoracic extension,chartevents
798,3119,hi minute vol,chartevents
799,3120,l avf-bruit/thrill,chartevents
800,3121,himv,chartevents
801,3122,apnea,chartevents
802,3124,left axilla pulse,chartevents
803,3125,nicardipine 5-15mg/h,chartevents
804,3126,slope,chartevents
805,3127,sitter at bedside.,chartevents
806,3128,brachial s/d,chartevents
807,3131,shampoo,chartevents
808,3132,20# to skeletal tx,chartevents
809,3134,solumed mg/kg/hr,chartevents
810,3135,atg,chartevents
811,3136,tongue midline,chartevents
812,3137,visual field checkl),chartevents
813,3138,visual field checkr),chartevents
814,3139,lue fistula,chartevents
815,3140,urine cl-,chartevents
816,3142,high rr,chartevents
817,3143,low insp pressure,chartevents
818,3145,l breast doppler,chartevents
819,3147,tpa #2 mg/hr,chartevents
820,3148,tpa#1 mg/hr,chartevents
821,3158,ck/vaginal bleeding,chartevents
822,3160,high mv limit,chartevents
823,3161,hi minute volume,chartevents
824,3167,drive pres,chartevents
825,3168,high min. vol,chartevents
